Date,Brazil
"Dec 31, 1987",100.000
"Jan 29, 1988",125.180
"Feb 29, 1988",116.840
"Mar 31, 1988",169.500
"Apr 29, 1988",187.340
"May 31, 1988",193.580
"Jun 30, 1988",175.890
"Jul 29, 1988",150.420
"Aug 31, 1988",158.230
"Sep 30, 1988",191.040
"Oct 31, 1988",188.560
"Nov 30, 1988",176.800
"Dec 30, 1988",203.360
"Jan 31, 1989",162.800
"Feb 28, 1989",221.160
"Mar 31, 1989",288.920
"Apr 28, 1989",403.710
"May 31, 1989",385.960
"Jun 30, 1989",226.850
"Jul 31, 1989",262.430
"Aug 31, 1989",248.200
"Sep 29, 1989",264.320
"Oct 31, 1989",300.990
"Nov 30, 1989",222.370
"Dec 29, 1989",282.060
"Jan 31, 1990",287.180
"Feb 28, 1990",306.960
"Mar 30, 1990",102.670
"Apr 30, 1990",185.460
"May 31, 1990",163.580
"Jun 29, 1990",166.150
"Jul 31, 1990",208.640
"Aug 31, 1990",176.180
"Sep 28, 1990",151.210
"Oct 31, 1990",107.430
"Nov 30, 1990",111.170
"Dec 31, 1990",108.340
"Jan 31, 1991",154.580
"Feb 28, 1991",189.080
"Mar 29, 1991",169.330
"Apr 30, 1991",176.470
"May 31, 1991",258.680
"Jun 28, 1991",252.150
"Jul 31, 1991",277.660
"Aug 30, 1991",262.700
"Sep 30, 1991",224.110
"Oct 31, 1991",231.190
"Nov 29, 1991",190.910
"Dec 31, 1991",294.870
"Jan 31, 1992",406.110
"Feb 28, 1992",402.060
"Mar 31, 1992",447.120
"Apr 30, 1992",449.690
"May 29, 1992",445.300
"Jun 30, 1992",301.820
"Jul 31, 1992",337.470
"Aug 31, 1992",329.260
"Sep 30, 1992",356.240
"Oct 30, 1992",313.550
"Nov 30, 1992",274.790
"Dec 31, 1992",314.690
"Jan 29, 1993",307.670
"Feb 26, 1993",367.150
"Mar 31, 1993",378.210
"Apr 30, 1993",373.920
"May 31, 1993",420.680
"Jun 30, 1993",472.330
"Jul 30, 1993",476.940
"Aug 31, 1993",510.400
"Sep 30, 1993",549.580
"Oct 29, 1993",507.650
"Nov 30, 1993",546.820
"Dec 31, 1993",559.320
"Jan 31, 1994",753.860
"Feb 28, 1994",776.780
"Mar 31, 1994",796.850
"Apr 29, 1994",627.950
"May 31, 1994",624.680
"Jun 30, 1994",638.720
"Jul 29, 1994",753.640
"Aug 31, 1994","1,023.490"
"Sep 30, 1994","1,104.560"
"Oct 31, 1994","1,023.340"
"Nov 30, 1994",982.160
"Dec 30, 1994",926.970
"Jan 31, 1995",848.130
"Feb 28, 1995",722.480
"Mar 31, 1995",628.920
"Apr 28, 1995",749.960
"May 31, 1995",751.130
"Jun 30, 1995",732.700
"Jul 31, 1995",759.920
"Aug 31, 1995",800.400
"Sep 29, 1995",840.720
"Oct 31, 1995",762.710
"Nov 30, 1995",761.540
"Dec 29, 1995",748.560
"Jan 31, 1996",878.210
"Feb 29, 1996",843.590
"Mar 29, 1996",832.950
"Apr 30, 1996",850.710
"May 31, 1996",916.470
"Jun 28, 1996",961.210
"Jul 31, 1996",951.220
"Aug 30, 1996",969.200
"Sep 30, 1996",988.220
"Oct 31, 1996","1,014.620"
"Nov 29, 1996","1,015.540"
"Dec 31, 1996","1,066.700"
"Jan 31, 1997","1,190.790"
"Feb 28, 1997","1,312.610"
"Mar 31, 1997","1,299.770"
"Apr 30, 1997","1,404.710"
"May 30, 1997","1,494.620"
"Jun 30, 1997","1,643.940"
"Jul 31, 1997","1,690.900"
"Aug 29, 1997","1,433.750"
"Sep 30, 1997","1,588.540"
"Oct 31, 1997","1,205.590"
"Nov 28, 1997","1,241.610"
"Dec 31, 1997","1,358.360"
"Jan 30, 1998","1,243.660"
"Feb 27, 1998","1,338.250"
"Mar 31, 1998","1,463.530"
"Apr 30, 1998","1,405.780"
"May 29, 1998","1,186.730"
"Jun 30, 1998","1,141.790"
"Jul 31, 1998","1,253.500"
"Aug 31, 1998",781.820
"Sep 30, 1998",815.630
"Oct 30, 1998",848.430
"Nov 30, 1998",997.350
"Dec 31, 1998",820.140
"Jan 29, 1999",590.150
"Feb 26, 1999",632.680
"Mar 31, 1999",865.370
"Apr 30, 1999",970.580
"May 31, 1999",934.950
"Jun 30, 1999",973.740
"Jul 30, 1999",878.250
"Aug 31, 1999",843.940
"Sep 30, 1999",887.610
"Oct 29, 1999",917.900
"Nov 30, 1999","1,090.460"
"Dec 31, 1999","1,371.540"
"Jan 31, 2000","1,313.640"
"Feb 29, 2000","1,369.220"
"Mar 31, 2000","1,422.800"
"Apr 28, 2000","1,233.530"
"May 31, 2000","1,218.800"
"Jun 30, 2000","1,369.290"
"Jul 31, 2000","1,355.380"
"Aug 31, 2000","1,389.780"
"Sep 29, 2000","1,301.100"
"Oct 31, 2000","1,199.290"
"Nov 30, 2000","1,065.180"
"Dec 29, 2000","1,215.560"
"Jan 31, 2001","1,377.040"
"Feb 28, 2001","1,235.320"
"Mar 30, 2001","1,095.240"
"Apr 30, 2001","1,151.310"
"May 31, 2001","1,091.740"
"Jun 29, 2001","1,075.680"
"Jul 31, 2001",998.790
"Aug 31, 2001",913.630
"Sep 28, 2001",761.230
"Oct 31, 2001",803.320
"Nov 30, 2001",883.790
"Dec 31, 2001","1,009.020"
"Jan 31, 2002",944.970
"Feb 28, 2002","1,079.680"
"Mar 29, 2002","1,080.610"
"Apr 30, 2002","1,071.340"
"May 31, 2002",991.680
"Jun 28, 2002",809.140
"Jul 31, 2002",574.840
"Aug 30, 2002",705.840
"Sep 30, 2002",492.260
"Oct 31, 2002",632.610
"Nov 29, 2002",639.990
"Dec 31, 2002",699.730
"Jan 31, 2003",676.460
"Feb 28, 2003",650.820
"Mar 31, 2003",740.450
"Apr 30, 2003",896.300
"May 30, 2003",917.860
"Jun 30, 2003",919.360
"Jul 31, 2003",970.040
"Aug 29, 2003","1,068.170"
"Sep 30, 2003","1,087.550"
"Oct 31, 2003","1,205.660"
"Nov 28, 2003","1,277.860"
"Dec 31, 2003","1,504.480"
"Jan 30, 2004","1,444.000"
"Feb 27, 2004","1,498.240"
"Mar 31, 2004","1,498.300"
"Apr 30, 2004","1,278.250"
"May 31, 2004","1,256.890"
"Jun 30, 2004","1,319.230"
"Jul 30, 2004","1,430.190"
"Aug 31, 2004","1,520.520"
"Sep 30, 2004","1,666.830"
"Oct 29, 2004","1,696.040"
"Nov 30, 2004","1,872.210"
"Dec 31, 2004","2,053.190"
"Jan 31, 2005","2,004.160"
"Feb 28, 2005","2,354.790"
"Mar 31, 2005","2,152.880"
"Apr 29, 2005","2,064.420"
"May 31, 2005","2,224.540"
"Jun 30, 2005","2,311.100"
"Jul 29, 2005","2,402.780"
"Aug 31, 2005","2,669.250"
"Sep 30, 2005","3,179.080"
"Oct 31, 2005","2,988.440"
"Nov 30, 2005","3,255.810"
"Dec 30, 2005","3,224.430"
"Jan 31, 2006","4,032.300"
"Feb 28, 2006","4,112.090"
"Mar 31, 2006","3,917.990"
"Apr 28, 2006","4,295.670"
"May 31, 2006","3,600.330"
"Jun 30, 2006","3,822.960"
"Jul 31, 2006","3,864.630"
"Aug 31, 2006","3,843.830"
"Sep 29, 2006","3,773.160"
