Date,Canada
"Dec 31, 1969",100.000
"Jan 30, 1970",102.490
"Feb 27, 1970",107.090
"Mar 31, 1970",108.230
"Apr 30, 1970",95.900
"May 29, 1970",86.830
"Jun 30, 1970",91.240
"Jul 31, 1970",97.820
"Aug 31, 1970",102.310
"Sep 30, 1970",109.040
"Oct 30, 1970",107.570
"Nov 30, 1970",112.740
"Dec 31, 1970",115.840
"Jan 29, 1971",119.720
"Feb 26, 1971",119.570
"Mar 31, 1971",124.910
"Apr 30, 1971",124.650
"May 31, 1971",121.300
"Jun 30, 1971",120.630
"Jul 30, 1971",120.930
"Aug 31, 1971",125.770
"Sep 30, 1971",124.730
"Oct 29, 1971",118.790
"Nov 30, 1971",118.480
"Dec 31, 1971",132.230
"Jan 31, 1972",138.430
"Feb 29, 1972",143.150
"Mar 31, 1972",143.490
"Apr 28, 1972",144.270
"May 31, 1972",152.170
"Jun 30, 1972",155.320
"Jul 31, 1972",154.900
"Aug 31, 1972",165.660
"Sep 29, 1972",164.790
"Oct 31, 1972",161.460
"Nov 30, 1972",169.100
"Dec 29, 1972",176.140
"Jan 31, 1973",175.910
"Feb 28, 1973",172.240
"Mar 30, 1973",172.700
"Apr 30, 1973",165.350
"May 31, 1973",158.980
"Jun 29, 1973",162.350
"Jul 31, 1973",171.440
"Aug 31, 1973",171.090
"Sep 28, 1973",176.880
"Oct 31, 1973",190.080
"Nov 30, 1973",171.860
"Dec 31, 1973",170.620
"Jan 31, 1974",176.110
"Feb 28, 1974",183.030
"Mar 29, 1974",178.880
"Apr 30, 1974",166.260
"May 31, 1974",153.480
"Jun 28, 1974",148.290
"Jul 31, 1974",150.810
"Aug 30, 1974",136.090
"Sep 30, 1974",122.340
"Oct 31, 1974",135.830
"Nov 29, 1974",124.260
"Dec 31, 1974",125.190
"Jan 31, 1975",144.780
"Feb 28, 1975",148.820
"Mar 31, 1975",144.670
"Apr 30, 1975",146.930
"May 30, 1975",150.100
"Jun 30, 1975",153.950
"Jul 31, 1975",152.760
"Aug 29, 1975",151.520
"Sep 30, 1975",144.210
"Oct 31, 1975",138.040
"Nov 28, 1975",149.250
"Dec 31, 1975",144.240
"Jan 30, 1976",159.990
"Feb 27, 1976",168.750
"Mar 31, 1976",166.720
"Apr 30, 1976",169.770
"May 31, 1976",171.030
"Jun 30, 1976",170.100
"Jul 30, 1976",167.830
"Aug 31, 1976",166.470
"Sep 30, 1976",164.590
"Oct 29, 1976",158.750
"Nov 30, 1976",139.040
"Dec 31, 1976",158.420
"Jan 31, 1977",153.870
"Feb 28, 1977",152.730
"Mar 31, 1977",154.020
"Apr 29, 1977",150.660
"May 31, 1977",148.060
"Jun 30, 1977",154.380
