Date,China
"Dec 31, 1992",100.000
"Jan 29, 1993",98.880
"Feb 26, 1993",108.820
"Mar 31, 1993",97.160
"Apr 30, 1993",91.810
"May 31, 1993",86.310
"Jun 30, 1993",82.310
"Jul 30, 1993",72.570
"Aug 31, 1993",84.870
"Sep 30, 1993",90.580
"Oct 29, 1993",99.340
"Nov 30, 1993",107.530
"Dec 31, 1993",133.690
"Jan 31, 1994",115.930
"Feb 28, 1994",109.690
"Mar 31, 1994",89.670
"Apr 29, 1994",87.620
"May 31, 1994",91.680
"Jun 30, 1994",81.730
"Jul 29, 1994",91.270
"Aug 31, 1994",96.520
"Sep 30, 1994",97.790
"Oct 31, 1994",94.020
"Nov 30, 1994",81.770
"Dec 30, 1994",71.640
"Jan 31, 1995",61.740
"Feb 28, 1995",68.820
"Mar 31, 1995",68.930
"Apr 28, 1995",61.690
"May 31, 1995",72.700
"Jun 30, 1995",71.850
"Jul 31, 1995",75.430
"Aug 31, 1995",71.040
"Sep 29, 1995",67.950
"Oct 31, 1995",63.740
"Nov 30, 1995",59.250
"Dec 29, 1995",56.510
"Jan 31, 1996",65.160
"Feb 29, 1996",67.090
"Mar 29, 1996",64.010
"Apr 30, 1996",60.620
"May 31, 1996",63.410
"Jun 28, 1996",64.410
"Jul 31, 1996",62.160
"Aug 30, 1996",61.960
"Sep 30, 1996",61.240
"Oct 31, 1996",59.740
"Nov 29, 1996",66.640
"Dec 31, 1996",77.680
"Jan 31, 1997",75.950
"Feb 28, 1997",78.190
"Mar 31, 1997",75.930
"Apr 30, 1997",85.960
"May 30, 1997",84.990
"Jun 30, 1997",86.890
"Jul 31, 1997",98.790
"Aug 29, 1997",104.620
"Sep 30, 1997",87.220
"Oct 31, 1997",73.060
"Nov 28, 1997",59.830
"Dec 31, 1997",58.060
"Jan 30, 1998",43.290
"Feb 27, 1998",58.660
"Mar 31, 1998",57.140
"Apr 30, 1998",51.260
"May 29, 1998",44.530
"Jun 30, 1998",37.590
"Jul 31, 1998",30.790
"Aug 31, 1998",22.450
"Sep 30, 1998",32.150
"Oct 30, 1998",35.350
"Nov 30, 1998",36.470
"Dec 31, 1998",33.460
"Jan 29, 1999",27.240
"Feb 26, 1999",26.090
"Mar 31, 1999",29.630
"Apr 30, 1999",37.080
"May 31, 1999",37.160
"Jun 30, 1999",54.570
"Jul 30, 1999",47.760
"Aug 31, 1999",47.380
"Sep 30, 1999",45.480
"Oct 29, 1999",41.810
"Nov 30, 1999",41.010
"Dec 31, 1999",37.920
"Jan 31, 2000",36.270
"Feb 29, 2000",29.610
"Mar 31, 2000",30.290
"Apr 28, 2000",33.150
"May 31, 2000",33.740
"Jun 30, 2000",38.250
"Jul 31, 2000",37.520
"Aug 31, 2000",36.000
"Sep 29, 2000",31.620
"Oct 31, 2000",30.140
"Nov 30, 2000",26.130
"Dec 29, 2000",26.340
"Jan 31, 2001",30.160
"Feb 28, 2001",27.410
"Mar 30, 2001",22.970
"Apr 30, 2001",25.300
"May 31, 2001",25.990
"Jun 29, 2001",26.840
"Jul 31, 2001",23.210
"Aug 31, 2001",18.180
"Sep 28, 2001",17.570
"Oct 31, 2001",18.010
"Nov 30, 2001",19.770
"Dec 31, 2001",19.840
"Jan 31, 2002",17.980
"Feb 28, 2002",18.120
"Mar 29, 2002",19.140
"Apr 30, 2002",19.980
"May 31, 2002",20.290
"Jun 28, 2002",19.600
"Jul 31, 2002",18.750
"Aug 30, 2002",18.380
"Sep 30, 2002",16.920
"Oct 31, 2002",17.020
"Nov 29, 2002",17.720
"Dec 31, 2002",17.050
"Jan 31, 2003",17.860
"Feb 28, 2003",17.420
"Mar 31, 2003",16.750
"Apr 30, 2003",16.770
"May 30, 2003",18.910
"Jun 30, 2003",20.130
"Jul 31, 2003",22.120
