Date,Germany
"Dec 31, 1969",100.000
"Jan 30, 1970",95.230
"Feb 27, 1970",92.510
"Mar 31, 1970",93.390
"Apr 30, 1970",89.140
"May 29, 1970",80.840
"Jun 30, 1970",77.930
"Jul 31, 1970",82.740
"Aug 31, 1970",83.790
"Sep 30, 1970",82.490
"Oct 30, 1970",81.330
"Nov 30, 1970",78.450
"Dec 31, 1970",76.160
"Jan 29, 1971",87.160
"Feb 26, 1971",90.950
"Mar 31, 1971",91.870
"Apr 30, 1971",86.340
"May 31, 1971",90.520
"Jun 30, 1971",90.780
"Jul 30, 1971",95.580
"Aug 31, 1971",93.840
"Sep 30, 1971",92.890
"Oct 29, 1971",85.960
"Nov 30, 1971",88.330
"Dec 31, 1971",94.950
"Jan 31, 1972",101.940
"Feb 29, 1972",110.610
"Mar 31, 1972",116.600
"Apr 28, 1972",113.640
"May 31, 1972",116.860
"Jun 30, 1972",115.110
"Jul 31, 1972",121.760
"Aug 31, 1972",119.090
"Sep 29, 1972",114.890
"Oct 31, 1972",112.650
"Nov 30, 1972",114.390
"Dec 29, 1972",112.610
"Jan 31, 1973",119.840
"Feb 28, 1973",130.330
"Mar 30, 1973",137.670
"Apr 30, 1973",130.470
"May 31, 1973",122.870
"Jun 29, 1973",136.620
"Jul 31, 1973",131.960
"Aug 31, 1973",127.440
"Sep 28, 1973",128.060
"Oct 31, 1973",135.720
"Nov 30, 1973",112.710
"Dec 31, 1973",107.550
"Jan 31, 1974",112.910
"Feb 28, 1974",109.590
"Mar 29, 1974",115.750
"Apr 30, 1974",125.050
"May 31, 1974",117.480
"Jun 28, 1974",113.470
"Jul 31, 1974",111.290
"Aug 30, 1974",108.980
"Sep 30, 1974",104.240
"Oct 31, 1974",110.450
"Nov 29, 1974",121.100
"Dec 31, 1974",126.110
"Jan 31, 1975",142.530
"Feb 28, 1975",161.980
"Mar 31, 1975",160.120
"Apr 30, 1975",163.180
"May 30, 1975",153.710
"Jun 30, 1975",154.470
"Jul 31, 1975",153.710
"Aug 29, 1975",146.230
"Sep 30, 1975",139.910
"Oct 31, 1975",157.900
"Nov 28, 1975",161.840
"Dec 31, 1975",163.960
"Jan 30, 1976",167.770
"Feb 27, 1976",170.710
"Mar 31, 1976",177.520
"Apr 30, 1976",167.040
"May 31, 1976",162.100
"Jun 30, 1976",164.810
"Jul 30, 1976",163.510
"Aug 31, 1976",164.010
"Sep 30, 1976",171.970
"Oct 29, 1976",161.550
"Nov 30, 1976",170.410
"Dec 31, 1976",175.000
"Jan 31, 1977",172.030
"Feb 28, 1977",169.510
"Mar 31, 1977",175.340
"Apr 29, 1977",190.400
"May 31, 1977",186.610
"Jun 30, 1977",183.150
"Jul 29, 1977",189.510
"Aug 31, 1977",190.740
"Sep 30, 1977",194.500
"Oct 31, 1977",205.300
"Nov 30, 1977",209.520
"Dec 30, 1977",220.070
"Jan 31, 1978",223.000
"Feb 28, 1978",232.140
"Mar 31, 1978",233.190
"Apr 28, 1978",221.340
"May 31, 1978",222.920
"Jun 30, 1978",229.510
"Jul 31, 1978",242.050
"Aug 31, 1978",252.760
"Sep 29, 1978",267.100
"Oct 31, 1978",294.250
"Nov 30, 1978",260.630
"Dec 29, 1978",275.850
"Jan 31, 1979",271.620
"Feb 28, 1979",265.800
"Mar 30, 1979",260.250
"Apr 30, 1979",255.940
"May 31, 1979",242.990
"Jun 29, 1979",245.020
"Jul 31, 1979",255.990
"Aug 31, 1979",261.300
"Sep 28, 1979",274.580
"Oct 31, 1979",251.910
"Nov 30, 1979",265.740
"Dec 31, 1979",264.650
"Jan 31, 1980",263.170
"Feb 29, 1980",264.670
"Mar 31, 1980",223.900
"Apr 30, 1980",249.870
"May 30, 1980",259.110
"Jun 30, 1980",269.500
"Jul 31, 1980",271.460
"Aug 29, 1980",265.100
"Sep 30, 1980",262.990
"Oct 31, 1980",243.880
"Nov 28, 1980",245.480
"Dec 31, 1980",235.350
"Jan 30, 1981",213.990
"Feb 27, 1981",212.630
"Mar 31, 1981",222.770
"Apr 30, 1981",221.730
"May 29, 1981",205.080
"Jun 30, 1981",220.870
"Jul 31, 1981",215.380
"Aug 31, 1981",212.730
"Sep 30, 1981",211.240
"Oct 30, 1981",217.780
"Nov 30, 1981",230.230
"Dec 31, 1981",220.270
"Jan 29, 1982",218.290
"Feb 26, 1982",215.730
"Mar 31, 1982",218.280
"Apr 30, 1982",226.220
"May 31, 1982",221.400
"Jun 30, 1982",206.650
"Jul 30, 1982",207.180
"Aug 31, 1982",201.720
"Sep 30, 1982",210.310
"Oct 29, 1982",205.830
"Nov 30, 1982",217.470
"Dec 31, 1982",242.710
"Jan 31, 1983",233.830
"Feb 28, 1983",253.730
"Mar 31, 1983",286.710
"Apr 29, 1983",301.010
"May 31, 1983",277.490
"Jun 30, 1983",291.220
"Jul 29, 1983",287.060
