Date,Hong Kong
"Dec 31, 1969",100.000
"Jan 30, 1970",105.590
"Feb 27, 1970",113.110
"Mar 31, 1970",117.770
"Apr 30, 1970",118.330
"May 29, 1970",115.140
"Jun 30, 1970",120.790
"Jul 31, 1970",129.610
"Aug 31, 1970",135.160
"Sep 30, 1970",132.970
"Oct 30, 1970",129.160
"Nov 30, 1970",135.150
"Dec 31, 1970",145.360
"Jan 29, 1971",152.570
"Feb 26, 1971",145.230
"Mar 31, 1971",146.230
"Apr 30, 1971",157.690
"May 31, 1971",170.780
"Jun 30, 1971",207.470
"Jul 30, 1971",205.340
"Aug 31, 1971",243.700
"Sep 30, 1971",257.990
"Oct 29, 1971",251.270
"Nov 30, 1971",191.520
"Dec 31, 1971",234.680
"Jan 31, 1972",232.450
"Feb 29, 1972",241.070
"Mar 31, 1972",253.050
"Apr 28, 1972",283.060
"May 31, 1972",308.300
"Jun 30, 1972",324.700
"Jul 31, 1972",353.670
"Aug 31, 1972",325.920
"Sep 29, 1972",355.850
"Oct 31, 1972",457.130
"Nov 30, 1972",481.410
"Dec 29, 1972",616.170
"Jan 31, 1973",720.910
"Feb 28, 1973","1,354.280"
"Mar 30, 1973","1,069.800"
"Apr 30, 1973",618.830
"May 31, 1973",631.770
"Jun 29, 1973",536.040
"Jul 31, 1973",593.190
"Aug 31, 1973",509.090
"Sep 28, 1973",457.150
"Oct 31, 1973",527.770
"Nov 30, 1973",447.960
"Dec 31, 1973",375.100
"Jan 31, 1974",396.300
"Feb 28, 1974",337.270
"Mar 29, 1974",298.830
"Apr 30, 1974",269.000
"May 31, 1974",355.050
"Jun 28, 1974",354.570
"Jul 31, 1974",298.680
"Aug 30, 1974",231.590
"Sep 30, 1974",189.980
"Oct 31, 1974",203.040
"Nov 29, 1974",162.310
"Dec 31, 1974",162.130
"Jan 31, 1975",218.310
"Feb 28, 1975",250.030
"Mar 31, 1975",264.570
"Apr 30, 1975",299.360
"May 30, 1975",297.460
"Jun 30, 1975",298.730
"Jul 31, 1975",280.040
"Aug 29, 1975",274.680
"Sep 30, 1975",282.300
"Oct 31, 1975",289.600
"Nov 28, 1975",308.410
"Dec 31, 1975",342.400
"Jan 30, 1976",411.180
"Feb 27, 1976",440.020
"Mar 31, 1976",459.790
"Apr 30, 1976",429.890
"May 31, 1976",408.340
"Jun 30, 1976",420.530
"Jul 30, 1976",411.300
"Aug 31, 1976",423.220
"Sep 30, 1976",420.360
"Oct 29, 1976",401.430
"Nov 30, 1976",422.210
"Dec 31, 1976",482.310
"Jan 31, 1977",466.990
"Feb 28, 1977",457.790
"Mar 31, 1977",444.980
"Apr 29, 1977",469.510
"May 31, 1977",456.780
"Jun 30, 1977",461.310
"Jul 29, 1977",440.800
"Aug 31, 1977",451.910
"Sep 30, 1977",439.300
"Oct 31, 1977",436.270
"Nov 30, 1977",439.580
"Dec 30, 1977",427.980
"Jan 31, 1978",430.060
"Feb 28, 1978",436.560
"Mar 31, 1978",478.300
"Apr 28, 1978",480.460
"May 31, 1978",489.500
"Jun 30, 1978",595.590
"Jul 31, 1978",626.040
"Aug 31, 1978",733.140
"Sep 29, 1978",685.260
"Oct 31, 1978",719.080
"Nov 30, 1978",514.670
"Dec 29, 1978",507.410
"Jan 31, 1979",567.500
"Feb 28, 1979",544.370
"Mar 30, 1979",542.830
"Apr 30, 1979",540.960
"May 31, 1979",560.920
"Jun 29, 1979",535.840
"Jul 31, 1979",598.540
"Aug 31, 1979",589.660
"Sep 28, 1979",709.110
"Oct 31, 1979",702.730
"Nov 30, 1979",795.430
"Dec 31, 1979",933.250
"Jan 31, 1980",980.540
"Feb 29, 1980",976.690
"Mar 31, 1980",805.000
"Apr 30, 1980",928.110
"May 30, 1980",959.120
"Jun 30, 1980","1,131.440"
"Jul 31, 1980","1,256.850"
"Aug 29, 1980","1,338.060"
"Sep 30, 1980","1,316.480"
"Oct 31, 1980","1,636.950"
"Nov 28, 1980","1,563.270"
"Dec 31, 1980","1,611.890"
"Jan 30, 1981","1,684.340"
"Feb 27, 1981","1,561.480"
"Mar 31, 1981","1,433.260"
"Apr 30, 1981","1,483.540"
"May 29, 1981","1,737.540"
"Jun 30, 1981","1,769.990"
"Jul 31, 1981","1,663.070"
"Aug 31, 1981","1,565.170"
"Sep 30, 1981","1,136.300"
"Oct 30, 1981","1,194.690"
"Nov 30, 1981","1,406.870"
"Dec 31, 1981","1,353.380"
"Jan 29, 1982","1,338.440"
"Feb 26, 1982","1,172.800"
"Mar 31, 1982","1,092.960"
"Apr 30, 1982","1,283.490"
"May 31, 1982","1,402.990"
"Jun 30, 1982","1,230.980"
"Jul 30, 1982","1,146.510"
"Aug 31, 1982",999.370
"Sep 30, 1982",864.950
"Oct 29, 1982",683.070
"Nov 30, 1982",648.250
"Dec 31, 1982",751.920
"Jan 31, 1983",839.120
"Feb 28, 1983",960.450
"Mar 31, 1983",917.880
"Apr 29, 1983",916.290
"May 31, 1983",800.050
"Jun 30, 1983",848.290
"Jul 29, 1983",929.240
"Aug 31, 1983",804.440
"Sep 30, 1983",590.380
"Oct 31, 1983",711.590
"Nov 30, 1983",704.420
"Dec 30, 1983",730.530
"Jan 31, 1984",930.310
"Feb 29, 1984",896.000
"Mar 30, 1984",862.660
"Apr 30, 1984",882.280
"May 31, 1984",794.280
"Jun 29, 1984",782.370
"Jul 31, 1984",699.190
"Aug 31, 1984",820.710
"Sep 28, 1984",889.070
"Oct 31, 1984",901.430
"Nov 30, 1984","1,002.430"
"Dec 31, 1984","1,073.820"
"Jan 31, 1985","1,233.280"
"Feb 28, 1985","1,242.180"
"Mar 29, 1985","1,243.370"
"Apr 30, 1985","1,371.400"
"May 31, 1985","1,448.470"
"Jun 28, 1985","1,434.240"
"Jul 31, 1985","1,537.090"
"Aug 30, 1985","1,508.730"
"Sep 30, 1985","1,395.470"
"Oct 31, 1985","1,534.580"
"Nov 29, 1985","1,586.740"
"Dec 31, 1985","1,628.850"
"Jan 31, 1986","1,592.960"
"Feb 28, 1986","1,606.690"
"Mar 31, 1986","1,555.820"
"Apr 30, 1986","1,762.480"
"May 30, 1986","1,721.420"
"Jun 30, 1986","1,677.580"
"Jul 31, 1986","1,809.850"
"Aug 29, 1986","1,876.590"
"Sep 30, 1986","2,031.520"
"Oct 31, 1986","2,289.360"
"Nov 28, 1986","2,374.490"
"Dec 31, 1986","2,542.770"
"Jan 30, 1987","2,565.780"
"Feb 27, 1987","2,917.570"
"Mar 31, 1987","2,778.110"
"Apr 30, 1987","2,685.870"
"May 29, 1987","3,016.680"
"Jun 30, 1987","3,298.400"
"Jul 31, 1987","3,619.490"
"Aug 31, 1987","3,780.730"
"Sep 30, 1987","4,082.720"
"Oct 30, 1987","2,309.270"
"Nov 30, 1987","2,241.460"
"Dec 31, 1987","2,438.370"
"Jan 29, 1988","2,509.910"
"Feb 29, 1988","2,564.150"
"Mar 31, 1988","2,718.660"
"Apr 29, 1988","2,785.550"
"May 31, 1988","2,709.940"
"Jun 30, 1988","2,931.990"
"Jul 29, 1988","2,978.440"
"Aug 31, 1988","2,736.410"
"Sep 30, 1988","2,759.440"
"Oct 31, 1988","2,974.310"
"Nov 30, 1988","3,071.420"
"Dec 30, 1988","3,124.030"
"Jan 31, 1989","3,563.500"
"Feb 28, 1989","3,532.430"
"Mar 31, 1989","3,540.510"
"Apr 28, 1989","3,701.770"
"May 31, 1989","3,280.540"
"Jun 30, 1989","2,690.030"
"Jul 31, 1989","3,051.950"
"Aug 31, 1989","2,957.860"
"Sep 29, 1989","3,326.160"
"Oct 31, 1989","3,304.900"
"Nov 30, 1989","3,334.720"
"Dec 29, 1989","3,386.140"
"Jan 31, 1990","3,284.370"
"Feb 28, 1990","3,550.750"
"Mar 30, 1990","3,631.870"
"Apr 30, 1990","3,606.400"
"May 31, 1990","3,880.740"
"Jun 29, 1990","4,045.920"
"Jul 31, 1990","4,262.020"
"Aug 31, 1990","3,781.080"
"Sep 28, 1990","3,365.290"
"Oct 31, 1990","3,660.850"
"Nov 30, 1990","3,652.720"
"Dec 31, 1990","3,696.800"
"Jan 31, 1991","3,978.890"
"Feb 28, 1991","4,381.540"
"Mar 29, 1991","4,652.350"
"Apr 30, 1991","4,531.180"
"May 31, 1991","4,728.070"
"Jun 28, 1991","4,714.120"
"Jul 31, 1991","5,159.780"
"Aug 30, 1991","5,167.260"
"Sep 30, 1991","5,098.120"
"Oct 31, 1991","5,179.450"
"Nov 29, 1991","5,330.670"
"Dec 31, 1991","5,527.500"
"Jan 31, 1992","6,041.410"
"Feb 28, 1992","6,539.850"
"Mar 31, 1992","6,542.990"
"Apr 30, 1992","7,061.240"
"May 29, 1992","8,087.790"
"Jun 30, 1992","8,202.000"
"Jul 31, 1992","7,833.500"
"Aug 31, 1992","7,483.240"
"Sep 30, 1992","7,431.290"
"Oct 30, 1992","8,374.540"
"Nov 30, 1992","7,747.140"
"Dec 31, 1992","7,312.060"
"Jan 29, 1993","7,624.420"
"Feb 26, 1993","8,409.490"
"Mar 31, 1993","8,438.180"
"Apr 30, 1993","9,083.490"
"May 31, 1993","9,866.020"
"Jun 30, 1993","9,515.260"
"Jul 30, 1993","9,339.170"
"Aug 31, 1993","10,019.960"
"Sep 30, 1993","10,229.140"
"Oct 29, 1993","12,605.780"
"Nov 30, 1993","12,428.160"
"Dec 31, 1993","15,845.000"
"Jan 31, 1994","15,251.430"
"Feb 28, 1994","13,654.560"
"Mar 31, 1994","12,183.910"
"Apr 29, 1994","12,235.320"
"May 31, 1994","13,081.350"
"Jun 30, 1994","12,021.200"
"Jul 29, 1994","12,980.810"
"Aug 31, 1994","13,716.990"
"Sep 30, 1994","13,133.070"
"Oct 31, 1994","13,232.100"
"Nov 30, 1994","11,624.950"
"Dec 30, 1994","11,265.850"
"Jan 31, 1995","9,941.960"
"Feb 28, 1995","11,466.720"
"Mar 31, 1995","11,759.900"
"Apr 28, 1995","11,428.090"
"May 31, 1995","12,933.170"
"Jun 30, 1995","12,724.840"
"Jul 31, 1995","12,982.960"
"Aug 31, 1995","12,553.790"
"Sep 29, 1995","13,305.280"
"Oct 31, 1995","13,334.030"
"Nov 30, 1995","13,370.610"
"Dec 29, 1995","13,808.180"
"Jan 31, 1996","15,587.930"
"Feb 29, 1996","15,414.140"
"Mar 29, 1996","15,428.450"
"Apr 30, 1996","15,464.090"
"May 31, 1996","15,928.250"
"Jun 28, 1996","15,559.030"
"Jul 31, 1996","14,850.660"
"Aug 30, 1996","15,336.850"
"Sep 30, 1996","16,383.500"
"Oct 31, 1996","17,072.710"
"Nov 29, 1996","18,471.010"
"Dec 31, 1996","18,375.390"
"Jan 31, 1997","17,980.630"
"Feb 28, 1997","17,951.340"
"Mar 31, 1997","16,760.850"
"Apr 30, 1997","17,035.000"
"May 30, 1997","19,187.280"
"Jun 30, 1997","20,169.670"
"Jul 31, 1997","21,429.930"
"Aug 29, 1997","18,620.820"
"Sep 30, 1997","19,800.250"
"Oct 31, 1997","14,085.050"
"Nov 28, 1997","13,896.810"
"Dec 31, 1997","14,096.480"
"Jan 30, 1998","12,132.880"
"Feb 27, 1998","14,536.030"
"Mar 31, 1998","14,234.920"
"Apr 30, 1998","12,729.690"
"May 29, 1998","10,992.930"
"Jun 30, 1998","10,410.390"
"Jul 31, 1998","9,638.960"
"Aug 31, 1998","8,994.790"
"Sep 30, 1998","10,472.450"
"Oct 30, 1998","13,952.140"
"Nov 30, 1998","13,928.720"
"Dec 31, 1998","13,685.530"
"Jan 29, 1999","12,774.700"
"Feb 26, 1999","12,901.950"
"Mar 31, 1999","14,594.620"
"Apr 30, 1999","17,849.690"
"May 31, 1999","16,420.130"
"Jun 30, 1999","17,990.710"
"Jul 30, 1999","17,411.920"
"Aug 31, 1999","17,571.470"
"Sep 30, 1999","16,869.090"
"Oct 29, 1999","17,752.650"
"Nov 30, 1999","20,057.480"
"Dec 31, 1999","21,831.620"
"Jan 31, 2000","20,173.280"
"Feb 29, 2000","21,359.110"
"Mar 31, 2000","21,933.700"
"Apr 28, 2000","19,880.900"
"May 31, 2000","17,612.190"
"Jun 30, 2000","18,982.180"
"Jul 31, 2000","20,271.180"
"Aug 31, 2000","20,455.090"
"Sep 29, 2000","18,782.580"
"Oct 31, 2000","17,525.040"
"Nov 30, 2000","16,910.760"
"Dec 29, 2000","18,613.260"
"Jan 31, 2001","19,155.870"
"Feb 28, 2001","18,718.250"
"Mar 30, 2001","16,746.420"
"Apr 30, 2001","16,741.280"
"May 31, 2001","16,551.800"
"Jun 29, 2001","15,666.820"
"Jul 31, 2001","15,633.140"
"Aug 31, 2001","14,557.800"
"Sep 28, 2001","12,310.160"
"Oct 31, 2001","12,737.740"
"Nov 30, 2001","14,414.080"
"Dec 31, 2001","15,148.620"
"Jan 31, 2002","14,879.970"
"Feb 28, 2002","14,301.340"
"Mar 29, 2002","15,168.550"
"Apr 30, 2002","16,029.230"
"May 31, 2002","15,371.780"
"Jun 28, 2002","14,442.020"
"Jul 31, 2002","13,846.860"
"Aug 30, 2002","13,170.410"
"Sep 30, 2002","12,230.790"
"Oct 31, 2002","12,671.020"
"Nov 29, 2002","13,463.750"
"Dec 31, 2002","12,454.250"
"Jan 31, 2003","12,524.880"
"Feb 28, 2003","12,373.110"
"Mar 31, 2003","11,733.110"
"Apr 30, 2003","11,717.090"
"May 30, 2003","12,716.000"
"Jun 30, 2003","12,887.140"
"Jul 31, 2003","13,707.150"
"Aug 29, 2003","15,392.020"
"Sep 30, 2003","16,253.490"
"Oct 31, 2003","16,950.890"
"Nov 28, 2003","16,858.920"
"Dec 31, 2003","17,199.530"
"Jan 30, 2004","18,875.980"
"Feb 27, 2004","19,486.330"
"Mar 31, 2004","18,321.780"
"Apr 30, 2004","17,432.820"
"May 31, 2004","17,499.860"
"Jun 30, 2004","17,496.580"
"Jul 30, 2004","17,732.650"
"Aug 31, 2004","18,993.130"
"Sep 30, 2004","19,320.190"
"Oct 29, 2004","19,254.690"
"Nov 30, 2004","21,007.930"
"Dec 31, 2004","21,495.320"
"Jan 31, 2005","20,603.720"
"Feb 28, 2005","21,292.820"
"Mar 31, 2005","20,589.060"
"Apr 29, 2005","21,459.650"
"May 31, 2005","21,491.510"
"Jun 30, 2005","22,252.620"
"Jul 29, 2005","23,529.290"
"Aug 31, 2005","23,283.240"
"Sep 30, 2005","24,018.050"
"Oct 31, 2005","22,452.930"
"Nov 30, 2005","23,080.540"
"Dec 30, 2005","23,301.060"
"Jan 31, 2006","24,570.000"
"Feb 28, 2006","24,613.820"
"Mar 31, 2006","24,953.950"
"Apr 28, 2006","26,355.100"
"May 31, 2006","24,870.860"
"Jun 30, 2006","24,937.420"
"Jul 31, 2006","25,370.700"
"Aug 31, 2006","26,268.420"
"Sep 29, 2006","26,518.250"
"Oct 31, 2006","27,014.750"
"Nov 30, 2006","28,572.030"
"Dec 29, 2006","30,373.110"
"Jan 31, 2007","30,859.690"
"Feb 28, 2007","30,066.090"
"Mar 30, 2007","30,535.430"
"Apr 30, 2007","31,241.300"
"May 31, 2007","31,845.940"
"Jun 29, 2007","32,297.610"
"Jul 31, 2007","34,552.460"
"Aug 31, 2007","34,718.310"
"Sep 28, 2007","40,030.340"
"Oct 31, 2007","44,424.540"
"Nov 30, 2007","42,808.040"
"Dec 31, 2007","42,887.870"
"Jan 31, 2008","37,892.560"
"Feb 29, 2008","37,048.170"
"Mar 31, 2008","34,785.640"
"Apr 30, 2008","37,622.990"
"May 30, 2008","37,416.820"
"Jun 30, 2008","33,419.990"
"Jul 31, 2008","32,928.150"
"Aug 29, 2008","31,169.210"
"Sep 30, 2008","25,757.460"
"Oct 31, 2008","20,277.570"
"Nov 28, 2008","20,155.250"
"Dec 31, 2008","20,925.030"
"Jan 30, 2009","21,019.910"
"Feb 27, 2009","20,015.760"
"Mar 31, 2009","20,826.130"
"Apr 30, 2009","24,338.200"
"May 29, 2009","28,741.670"
"Jun 30, 2009","28,278.360"
"Jul 31, 2009","32,172.940"
"Aug 31, 2009","29,893.530"
"Sep 30, 2009","32,353.150"
"Oct 30, 2009","33,237.960"
"Nov 30, 2009","32,827.180"
"Dec 31, 2009","33,511.890"
"Jan 29, 2010","31,305.040"
"Feb 26, 2010","32,528.000"
"Mar 31, 2010","34,326.460"
"Apr 30, 2010","33,494.910"
"May 31, 2010","31,364.040"
"Jun 30, 2010","32,326.640"
"Jul 30, 2010","34,204.210"
"Aug 31, 2010","34,565.400"
"Sep 30, 2010","39,405.260"
"Oct 29, 2010","40,275.420"
"Nov 30, 2010","41,032.210"
"Dec 31, 2010","41,298.010"
"Jan 31, 2011","41,998.620"
"Feb 28, 2011","40,610.240"
"Mar 31, 2011","41,128.680"
"Apr 29, 2011","42,151.520"
"May 31, 2011","42,387.000"
"Jun 30, 2011","40,735.620"
"Jul 29, 2011","41,559.200"
"Aug 31, 2011","39,024.210"
"Sep 30, 2011","32,628.610"
"Oct 31, 2011","36,721.790"
"Nov 30, 2011","34,015.910"
"Dec 30, 2011","34,681.100"
"Jan 31, 2012","37,961.750"
"Feb 29, 2012","41,225.240"
"Mar 30, 2012","39,337.920"
"Apr 30, 2012","39,656.570"
"May 31, 2012","35,801.080"
