Date,India
"Dec 31, 1992",100.000
"Jan 29, 1993",97.960
"Feb 26, 1993",100.370
"Mar 31, 1993",84.860
"Apr 30, 1993",79.370
"May 31, 1993",83.460
"Jun 30, 1993",84.470
"Jul 30, 1993",89.610
"Aug 31, 1993",101.730
"Sep 30, 1993",106.220
"Oct 29, 1993",104.460
"Nov 30, 1993",126.920
"Dec 31, 1993",134.640
"Jan 31, 1994",156.980
"Feb 28, 1994",167.900
"Mar 31, 1994",149.190
"Apr 29, 1994",145.750
"May 31, 1994",147.550
"Jun 30, 1994",155.000
"Jul 29, 1994",159.600
"Aug 31, 1994",172.430
"Sep 30, 1994",162.820
"Oct 31, 1994",161.320
"Nov 30, 1994",155.910
"Dec 30, 1994",148.010
"Jan 31, 1995",138.840
"Feb 28, 1995",131.500
"Mar 31, 1995",126.540
"Apr 28, 1995",120.150
"May 31, 1995",125.040
"Jun 30, 1995",120.950
"Jul 31, 1995",126.000
"Aug 31, 1995",121.460
"Sep 29, 1995",117.980
"Oct 31, 1995",114.890
"Nov 30, 1995",98.200
"Dec 29, 1995",102.220
"Jan 31, 1996",92.390
"Feb 29, 1996",112.840
"Mar 29, 1996",114.000
"Apr 30, 1996",128.140
"May 31, 1996",123.330
"Jun 28, 1996",128.400
"Jul 31, 1996",117.800
"Aug 30, 1996",115.450
"Sep 30, 1996",106.140
"Oct 31, 1996",103.830
"Nov 29, 1996",94.670
"Dec 31, 1996",99.990
"Jan 31, 1997",109.020
"Feb 28, 1997",116.550
"Mar 31, 1997",107.130
"Apr 30, 1997",120.720
"May 30, 1997",119.210
"Jun 30, 1997",137.570
"Jul 31, 1997",139.870
"Aug 29, 1997",124.720
"Sep 30, 1997",126.890
"Oct 31, 1997",122.580
"Nov 28, 1997",109.360
"Dec 31, 1997",111.260
"Jan 30, 1998",99.720
"Feb 27, 1998",110.230
"Mar 31, 1998",118.260
"Apr 30, 1998",120.730
"May 29, 1998",106.970
"Jun 30, 1998",93.660
"Jul 31, 1998",92.650
