Date,Israel
"Dec 31, 1992",100.000
"Jan 29, 1993",104.150
"Feb 26, 1993",99.450
"Mar 31, 1993",105.220
"Apr 30, 1993",104.350
"May 31, 1993",104.990
"Jun 30, 1993",101.290
"Jul 30, 1993",90.060
"Aug 31, 1993",102.240
"Sep 30, 1993",112.800
"Oct 29, 1993",111.800
"Nov 30, 1993",113.110
"Dec 31, 1993",115.600
"Jan 31, 1994",118.270
"Feb 28, 1994",105.330
"Mar 31, 1994",98.660
"Apr 29, 1994",99.710
"May 31, 1994",84.680
"Jun 30, 1994",73.140
"Jul 29, 1994",80.990
"Aug 31, 1994",84.380
"Sep 30, 1994",86.550
"Oct 31, 1994",88.690
"Nov 30, 1994",78.640
"Dec 30, 1994",78.200
"Jan 31, 1995",78.720
"Feb 28, 1995",69.720
"Mar 31, 1995",79.590
"Apr 28, 1995",83.780
"May 31, 1995",85.260
"Jun 30, 1995",90.670
"Jul 31, 1995",91.490
"Aug 31, 1995",95.980
"Sep 29, 1995",97.770
"Oct 31, 1995",92.150
"Nov 30, 1995",92.440
"Dec 29, 1995",96.640
"Jan 31, 1996",95.590
"Feb 29, 1996",99.490
"Mar 29, 1996",91.220
"Apr 30, 1996",96.670
"May 31, 1996",92.600
"Jun 28, 1996",89.850
"Jul 31, 1996",81.150
"Aug 30, 1996",85.440
"Sep 30, 1996",87.290
"Oct 31, 1996",84.480
"Nov 29, 1996",89.800
"Dec 31, 1996",94.460
"Jan 31, 1997",107.520
"Feb 28, 1997",110.690
"Mar 31, 1997",105.440
"Apr 30, 1997",107.350
"May 30, 1997",116.710
"Jun 30, 1997",118.960
"Jul 31, 1997",128.450
"Aug 29, 1997",120.920
"Sep 30, 1997",126.280
"Oct 31, 1997",115.420
"Nov 28, 1997",117.970
"Dec 31, 1997",118.090
"Jan 30, 1998",107.970
"Feb 27, 1998",112.800
"Mar 31, 1998",120.800
"Apr 30, 1998",120.810
"May 29, 1998",129.370
"Jun 30, 1998",127.750
"Jul 31, 1998",125.860
"Aug 31, 1998",110.610
"Sep 30, 1998",107.120
"Oct 30, 1998",101.920
"Nov 30, 1998",109.410
"Dec 31, 1998",112.070
"Jan 29, 1999",115.160
"Feb 26, 1999",117.750
"Mar 31, 1999",130.490
"Apr 30, 1999",131.340
"May 31, 1999",135.600
"Jun 30, 1999",140.700
"Jul 30, 1999",136.420
"Aug 31, 1999",124.150
"Sep 30, 1999",127.150
"Oct 29, 1999",134.730
"Nov 30, 1999",150.550
"Dec 31, 1999",178.950
"Jan 31, 2000",180.030
"Feb 29, 2000",228.450
"Mar 31, 2000",207.050
"Apr 28, 2000",201.730
"May 31, 2000",210.810
"Jun 30, 2000",226.450
"Jul 31, 2000",229.140
"Aug 31, 2000",262.860
"Sep 29, 2000",270.040
"Oct 31, 2000",237.440
"Nov 30, 2000",205.960
"Dec 29, 2000",228.610
"Jan 31, 2001",227.460
"Feb 28, 2001",194.510
"Mar 30, 2001",157.850
"Apr 30, 2001",179.390
"May 31, 2001",170.940
"Jun 29, 2001",169.850
"Jul 31, 2001",170.130
"Aug 31, 2001",151.800
"Sep 28, 2001",123.540
"Oct 31, 2001",134.360
"Nov 30, 2001",149.510
"Dec 31, 2001",157.410
"Jan 31, 2002",149.620
"Feb 28, 2002",131.470
"Mar 29, 2002",131.580
"Apr 30, 2002",108.580
"May 31, 2002",114.110
"Jun 28, 2002",109.250
"Jul 31, 2002",112.830
"Aug 30, 2002",113.120
"Sep 30, 2002",104.160
"Oct 31, 2002",106.910
"Nov 29, 2002",121.210
"Dec 31, 2002",108.330
"Jan 31, 2003",107.340
