Date,Italy
"Dec 31, 1969",100.000
"Jan 30, 1970",104.180
"Feb 27, 1970",101.430
"Mar 31, 1970",105.100
"Apr 30, 1970",104.870
"May 29, 1970",95.030
"Jun 30, 1970",90.620
"Jul 31, 1970",93.200
"Aug 31, 1970",93.300
"Sep 30, 1970",91.070
"Oct 30, 1970",87.080
"Nov 30, 1970",85.420
"Dec 31, 1970",82.420
"Jan 29, 1971",83.550
"Feb 26, 1971",86.040
"Mar 31, 1971",83.130
"Apr 30, 1971",80.460
"May 31, 1971",75.220
"Jun 30, 1971",75.090
"Jul 30, 1971",72.350
"Aug 31, 1971",70.580
"Sep 30, 1971",67.830
"Oct 29, 1971",69.210
"Nov 30, 1971",67.660
"Dec 31, 1971",72.590
"Jan 31, 1972",75.360
"Feb 29, 1972",70.530
"Mar 31, 1972",71.860
"Apr 28, 1972",75.780
"May 31, 1972",78.340
"Jun 30, 1972",78.900
"Jul 31, 1972",77.320
"Aug 31, 1972",77.830
"Sep 29, 1972",76.980
"Oct 31, 1972",78.680
"Nov 30, 1972",85.900
"Dec 29, 1972",83.310
"Jan 31, 1973",77.410
"Feb 28, 1973",87.710
"Mar 30, 1973",96.020
"Apr 30, 1973",96.490
"May 31, 1973",106.660
"Jun 29, 1973",121.110
"Jul 31, 1973",95.170
"Aug 31, 1973",104.180
"Sep 28, 1973",101.110
"Oct 31, 1973",104.550
"Nov 30, 1973",91.770
"Dec 31, 1973",91.780
"Jan 31, 1974",88.590
"Feb 28, 1974",90.040
"Mar 29, 1974",106.810
"Apr 30, 1974",100.190
"May 31, 1974",88.210
"Jun 28, 1974",78.850
"Jul 31, 1974",79.360
"Aug 30, 1974",68.330
"Sep 30, 1974",63.410
"Oct 31, 1974",64.210
"Nov 29, 1974",67.820
"Dec 31, 1974",61.060
"Jan 31, 1975",67.210
"Feb 28, 1975",74.080
"Mar 31, 1975",72.150
"Apr 30, 1975",71.870
"May 30, 1975",70.280
"Jun 30, 1975",62.150
"Jul 31, 1975",54.630
"Aug 29, 1975",54.490
"Sep 30, 1975",51.590
"Oct 31, 1975",53.650
"Nov 28, 1975",55.680
"Dec 31, 1975",55.780
"Jan 30, 1976",54.360
"Feb 27, 1976",54.280
"Mar 31, 1976",44.280
"Apr 30, 1976",39.850
"May 31, 1976",42.770
"Jun 30, 1976",45.770
"Jul 30, 1976",47.670
"Aug 31, 1976",46.040
"Sep 30, 1976",42.440
"Oct 29, 1976",36.870
"Nov 30, 1976",39.440
"Dec 31, 1976",40.960
"Jan 31, 1977",38.270
"Feb 28, 1977",37.660
"Mar 31, 1977",37.060
"Apr 29, 1977",35.490
"May 31, 1977",33.790
"Jun 30, 1977",35.610
"Jul 29, 1977",33.000
"Aug 31, 1977",39.120
"Sep 30, 1977",37.680
"Oct 31, 1977",35.340
"Nov 30, 1977",33.520
"Dec 30, 1977",33.300
"Jan 31, 1978",35.570
"Feb 28, 1978",38.000
"Mar 31, 1978",40.090
"Apr 28, 1978",39.960
"May 31, 1978",42.250
"Jun 30, 1978",40.420
"Jul 31, 1978",41.310
"Aug 31, 1978",44.830
"Sep 29, 1978",55.970
"Oct 31, 1978",54.150
"Nov 30, 1978",48.110
"Dec 29, 1978",48.760
"Jan 31, 1979",50.650
"Feb 28, 1979",53.650
"Mar 30, 1979",54.380
