Date,Japan
"Dec 31, 1969",100.000
"Jan 30, 1970",98.490
"Feb 27, 1970",99.770
"Mar 31, 1970",103.890
"Apr 30, 1970",91.390
"May 29, 1970",89.030
"Jun 30, 1970",90.730
"Jul 31, 1970",91.000
"Aug 31, 1970",90.090
"Sep 30, 1970",89.130
"Oct 30, 1970",90.360
"Nov 30, 1970",87.840
"Dec 31, 1970",88.620
"Jan 29, 1971",93.550
"Feb 26, 1971",97.930
"Mar 31, 1971",106.090
"Apr 30, 1971",111.660
"May 31, 1971",110.940
"Jun 30, 1971",121.640
"Jul 30, 1971",122.300
"Aug 31, 1971",114.300
"Sep 30, 1971",118.160
"Oct 29, 1971",113.600
"Nov 30, 1971",121.600
"Dec 31, 1971",137.320
"Jan 31, 1972",148.360
"Feb 29, 1972",161.970
"Mar 31, 1972",170.440
"Apr 28, 1972",179.440
"May 31, 1972",194.680
"Jun 30, 1972",202.530
"Jul 31, 1972",219.910
"Aug 31, 1972",225.420
"Sep 29, 1972",235.720
"Oct 31, 1972",243.400
"Nov 30, 1972",286.820
"Dec 29, 1972",311.610
"Jan 31, 1973",316.920
"Feb 28, 1973",343.740
"Mar 30, 1973",344.660
"Apr 30, 1973",306.560
"May 31, 1973",314.580
"Jun 29, 1973",320.230
"Jul 31, 1973",339.740
"Aug 31, 1973",323.750
"Sep 28, 1973",306.420
"Oct 31, 1973",304.960
"Nov 30, 1973",263.150
"Dec 31, 1973",248.750
"Jan 31, 1974",247.980
"Feb 28, 1974",257.620
"Mar 29, 1974",262.080
"Apr 30, 1974",266.080
"May 31, 1974",275.770
"Jun 28, 1974",266.140
"Jul 31, 1974",239.770
"Aug 30, 1974",213.470
"Sep 30, 1974",215.880
"Oct 31, 1974",197.980
"Nov 29, 1974",218.610
"Dec 31, 1974",209.820
"Jan 31, 1975",220.490
"Feb 28, 1975",252.750
"Mar 31, 1975",259.140
"Apr 30, 1975",259.910
"May 30, 1975",258.720
"Jun 30, 1975",261.690
"Jul 31, 1975",248.370
"Aug 29, 1975",237.440
"Sep 30, 1975",222.520
"Oct 31, 1975",246.590
"Nov 28, 1975",248.790
"Dec 31, 1975",251.690
"Jan 30, 1976",267.280
"Feb 27, 1976",269.240
"Mar 31, 1976",269.240
"Apr 30, 1976",271.070
"May 31, 1976",272.670
"Jun 30, 1976",286.390
"Jul 30, 1976",281.170
"Aug 31, 1976",291.120
"Sep 30, 1976",292.790
"Oct 29, 1976",277.540
"Nov 30, 1976",274.560
"Dec 31, 1976",316.490
"Jan 31, 1977",307.140
"Feb 28, 1977",323.000
"Mar 31, 1977",319.980
"Apr 29, 1977",326.000
"May 31, 1977",324.060
"Jun 30, 1977",336.970
"Jul 29, 1977",333.080
"Aug 31, 1977",350.800
"Sep 30, 1977",355.910
"Oct 31, 1977",363.000
"Nov 30, 1977",364.160
"Dec 30, 1977",366.880
"Jan 31, 1978",382.470
"Feb 28, 1978",397.110
"Mar 31, 1978",448.640
"Apr 28, 1978",445.940
"May 31, 1978",450.180
"Jun 30, 1978",492.620
"Jul 31, 1978",544.150
"Aug 31, 1978",536.200
"Sep 29, 1978",548.220
"Oct 31, 1978",590.940
"Nov 30, 1978",536.600
"Dec 29, 1978",562.880
"Jan 31, 1979",561.110
"Feb 28, 1979",539.670
"Mar 30, 1979",520.620
"Apr 30, 1979",504.630
"May 31, 1979",512.430
"Jun 29, 1979",515.970
"Jul 31, 1979",514.630
"Aug 31, 1979",516.720
"Sep 28, 1979",526.670
"Oct 31, 1979",485.980
"Nov 30, 1979",466.630
"Dec 31, 1979",496.220
"Jan 31, 1980",506.210
"Feb 29, 1980",486.580
"Mar 31, 1980",473.020
"Apr 30, 1980",511.670
"May 30, 1980",542.230
"Jun 30, 1980",563.460
"Jul 31, 1980",535.550
"Aug 29, 1980",571.230
"Sep 30, 1980",608.910
"Oct 31, 1980",623.790
"Nov 28, 1980",603.850
"Dec 31, 1980",646.330
"Jan 30, 1981",659.190
"Feb 27, 1981",649.880
"Mar 31, 1981",688.880
"Apr 30, 1981",739.110
"May 29, 1981",720.210
"Jun 30, 1981",745.690
"Jul 31, 1981",718.320
"Aug 31, 1981",746.250
"Sep 30, 1981",675.840
"Oct 30, 1981",675.270
"Nov 30, 1981",736.880
"Dec 31, 1981",748.910
"Jan 29, 1982",736.460
"Feb 26, 1982",677.920
"Mar 31, 1982",612.890
"Apr 30, 1982",667.540
"May 31, 1982",642.050
"Jun 30, 1982",603.420
"Jul 30, 1982",581.060
"Aug 31, 1982",584.440
"Sep 30, 1982",562.180
"Oct 29, 1982",564.380
"Nov 30, 1982",669.030
"Dec 31, 1982",745.130
"Jan 31, 1983",714.380
"Feb 28, 1983",726.240
"Mar 31, 1983",755.450
"Apr 29, 1983",771.540
"May 31, 1983",773.380
"Jun 30, 1983",798.030
"Jul 29, 1983",804.670
"Aug 31, 1983",794.790
"Sep 30, 1983",857.580
"Oct 31, 1983",853.450
"Nov 30, 1983",864.050
"Dec 30, 1983",930.700
"Jan 31, 1984",974.330
"Feb 29, 1984",971.490
"Mar 30, 1984","1,146.850"
"Apr 30, 1984","1,121.910"
"May 31, 1984",984.080
"Jun 29, 1984",988.760
"Jul 31, 1984",919.010
"Aug 31, 1984",997.880
"Sep 28, 1984",993.680
"Oct 31, 1984","1,042.760"
"Nov 30, 1984","1,049.890"
"Dec 31, 1984","1,090.150"
