Date,Korea
"Dec 31, 1987",100.000
"Jan 29, 1988",121.650
"Feb 29, 1988",117.990
"Mar 31, 1988",125.570
"Apr 29, 1988",129.920
"May 31, 1988",145.410
"Jun 30, 1988",138.510
"Jul 29, 1988",143.800
"Aug 31, 1988",135.050
"Sep 30, 1988",139.420
"Oct 31, 1988",153.430
"Nov 30, 1988",175.440
"Dec 30, 1988",196.620
"Jan 31, 1989",193.110
"Feb 28, 1989",198.830
"Mar 31, 1989",217.440
"Apr 28, 1989",201.560
"May 31, 1989",198.610
"Jun 30, 1989",182.930
"Jul 31, 1989",192.560
"Aug 31, 1989",214.540
"Sep 29, 1989",208.460
"Oct 31, 1989",198.640
"Nov 30, 1989",201.690
"Dec 29, 1989",199.880
"Jan 31, 1990",193.490
"Feb 28, 1990",183.960
"Mar 30, 1990",179.210
"Apr 30, 1990",142.740
"May 31, 1990",164.950
"Jun 29, 1990",147.650
"Jul 31, 1990",140.920
"Aug 31, 1990",123.840
"Sep 28, 1990",122.310
"Oct 31, 1990",144.180
"Nov 30, 1990",146.440
"Dec 31, 1990",145.240
"Jan 31, 1991",131.970
"Feb 28, 1991",140.050
"Mar 29, 1991",133.090
"Apr 30, 1991",132.810
"May 31, 1991",126.740
"Jun 28, 1991",125.150
"Jul 31, 1991",156.940
"Aug 30, 1991",144.810
"Sep 30, 1991",149.540
"Oct 31, 1991",142.970
"Nov 29, 1991",131.160
"Dec 31, 1991",122.730
"Jan 31, 1992",135.000
"Feb 28, 1992",119.440
"Mar 31, 1992",111.000
"Apr 30, 1992",115.060
"May 29, 1992",103.050
"Jun 30, 1992",105.390
"Jul 31, 1992",97.790
"Aug 31, 1992",105.560
"Sep 30, 1992",95.120
"Oct 30, 1992",110.740
"Nov 30, 1992",120.260
"Dec 31, 1992",124.650
"Jan 29, 1993",123.000
"Feb 26, 1993",114.530
"Mar 31, 1993",121.300
"Apr 30, 1993",132.380
"May 31, 1993",140.800
"Jun 30, 1993",137.330
"Jul 30, 1993",132.550
"Aug 31, 1993",123.650
"Sep 30, 1993",132.290
"Oct 29, 1993",135.130
"Nov 30, 1993",147.770
"Dec 31, 1993",163.760
"Jan 31, 1994",185.770
"Feb 28, 1994",183.450
"Mar 31, 1994",167.340
"Apr 29, 1994",179.750
"May 31, 1994",187.670
"Jun 30, 1994",185.640
"Jul 29, 1994",185.930
"Aug 31, 1994",195.060
"Sep 30, 1994",224.920
"Oct 31, 1994",226.130
"Nov 30, 1994",216.100
"Dec 30, 1994",202.530
"Jan 31, 1995",183.960
"Feb 28, 1995",180.030
"Mar 31, 1995",196.550
"Apr 28, 1995",196.810
"May 31, 1995",195.400
"Jun 30, 1995",198.590
"Jul 31, 1995",206.360
"Aug 31, 1995",199.210
"Sep 29, 1995",217.980
"Oct 31, 1995",221.700
"Nov 30, 1995",204.100
"Dec 29, 1995",195.790
"Jan 31, 1996",191.170
"Feb 29, 1996",187.820
"Mar 29, 1996",191.870
"Apr 30, 1996",214.230
"May 31, 1996",188.530
"Jun 28, 1996",167.290
"Jul 31, 1996",161.220
"Aug 30, 1996",152.690
"Sep 30, 1996",150.820
"Oct 31, 1996",141.340
"Nov 29, 1996",138.740
"Dec 31, 1996",121.120
"Jan 31, 1997",127.510
"Feb 28, 1997",121.380
"Mar 31, 1997",119.040
"Apr 30, 1997",123.180
"May 30, 1997",132.800
"Jun 30, 1997",135.200
"Jul 31, 1997",130.260
"Aug 29, 1997",126.030
"Sep 30, 1997",113.560
"Oct 31, 1997",78.070
"Nov 28, 1997",58.530
"Dec 31, 1997",40.370
"Jan 30, 1998",68.870
"Feb 27, 1998",64.650
"Mar 31, 1998",64.230
"Apr 30, 1998",62.570
"May 29, 1998",47.000
"Jun 30, 1998",42.630
"Jul 31, 1998",55.780
"Aug 31, 1998",46.560
"Sep 30, 1998",45.410
"Oct 30, 1998",59.830
"Nov 30, 1998",71.030
"Dec 31, 1998",97.350
"Jan 29, 1999",100.610
"Feb 26, 1999",89.290
"Mar 31, 1999",105.310
"Apr 30, 1999",133.300
"May 31, 1999",133.560
"Jun 30, 1999",173.180
"Jul 30, 1999",180.230
"Aug 31, 1999",183.650
"Sep 30, 1999",156.560
"Oct 29, 1999",158.480
"Nov 30, 1999",193.060
"Dec 31, 1999",187.320
"Jan 31, 2000",189.810
"Feb 29, 2000",162.700
"Mar 31, 2000",182.750
"Apr 28, 2000",161.850
"May 31, 2000",159.510
"Jun 30, 2000",181.890
"Jul 31, 2000",152.710
"Aug 31, 2000",147.860
"Sep 29, 2000",129.470
"Oct 31, 2000",104.990
"Nov 30, 2000",98.100
"Dec 29, 2000",94.370
"Jan 31, 2001",120.340
"Feb 28, 2001",111.790
"Mar 30, 2001",96.690
"Apr 30, 2001",110.220
"May 31, 2001",118.560
"Jun 29, 2001",111.870
"Jul 31, 2001",103.900
"Aug 31, 2001",107.340
"Sep 28, 2001",89.900
"Oct 31, 2001",104.000
"Nov 30, 2001",130.330
"Dec 31, 2001",140.340
"Jan 31, 2002",151.270
"Feb 28, 2002",166.820
"Mar 29, 2002",181.910
"Apr 30, 2002",181.910
"May 31, 2002",182.520
"Jun 28, 2002",175.760
"Jul 31, 2002",171.140
"Aug 30, 2002",171.880
"Sep 30, 2002",147.500
"Oct 31, 2002",154.740
"Nov 29, 2002",174.490
"Dec 31, 2002",152.440
"Jan 31, 2003",145.830
"Feb 28, 2003",139.400
"Mar 31, 2003",126.250
"Apr 30, 2003",144.180
"May 30, 2003",153.010
"Jun 30, 2003",165.090
"Jul 31, 2003",183.140
"Aug 29, 2003",193.720
"Sep 30, 2003",181.270
"Oct 31, 2003",201.940
"Nov 28, 2003",201.590
"Dec 31, 2003",207.230
"Jan 30, 2004",229.050
"Feb 27, 2004",237.550
"Mar 31, 2004",246.830
"Apr 30, 2004",231.170
"May 31, 2004",215.870
"Jun 30, 2004",210.610
"Jul 30, 2004",193.500
"Aug 31, 2004",211.840
"Sep 30, 2004",219.490
"Oct 29, 2004",223.860
"Nov 30, 2004",247.790
"Dec 31, 2004",254.600
"Jan 31, 2005",273.530
"Feb 28, 2005",302.310
"Mar 31, 2005",285.490
"Apr 29, 2005",271.590
"May 31, 2005",284.930
"Jun 30, 2005",285.750
"Jul 29, 2005",321.080
"Aug 31, 2005",310.870
"Sep 30, 2005",348.630
"Oct 31, 2005",327.900
"Nov 30, 2005",366.660
"Dec 30, 2005",402.280
"Jan 31, 2006",438.480
"Feb 28, 2006",426.170
"Mar 31, 2006",424.410
"Apr 28, 2006",453.210
"May 31, 2006",418.690
"Jun 30, 2006",411.810
"Jul 31, 2006",411.170
"Aug 31, 2006",421.360
"Sep 29, 2006",434.350
"Oct 31, 2006",432.510
"Nov 30, 2006",456.680
"Dec 29, 2006",455.350
"Jan 31, 2007",435.390
"Feb 28, 2007",454.830
"Mar 30, 2007",469.190
"Apr 30, 2007",497.640
"May 31, 2007",538.820
"Jun 29, 2007",554.960
"Jul 31, 2007",616.120
"Aug 31, 2007",588.730
"Sep 28, 2007",632.610
"Oct 31, 2007",677.490
"Nov 30, 2007",612.920
"Dec 31, 2007",603.710
"Jan 31, 2008",521.460
"Feb 29, 2008",550.390
"Mar 31, 2008",526.790
"Apr 30, 2008",564.690
"May 30, 2008",554.780
"Jun 30, 2008",486.840
"Jul 31, 2008",479.000
"Aug 29, 2008",412.890
"Sep 30, 2008",368.950
"Oct 31, 2008",272.570
"Nov 28, 2008",226.390
"Dec 31, 2008",271.250
"Jan 30, 2009",260.660
"Feb 27, 2009",214.490
"Mar 31, 2009",271.070
"Apr 30, 2009",329.140
"May 29, 2009",342.600
"Jun 30, 2009",339.180
"Jul 31, 2009",402.320
"Aug 31, 2009",407.050
"Sep 30, 2009",456.130
"Oct 30, 2009",427.500
"Nov 30, 2009",430.860
"Dec 31, 2009",466.730
"Jan 29, 2010",446.420
"Feb 26, 2010",444.040
"Mar 31, 2010",485.530
"Apr 30, 2010",512.970
"May 31, 2010",444.680
"Jun 30, 2010",448.780
"Jul 30, 2010",482.720
"Aug 31, 2010",470.260
"Sep 30, 2010",526.010
"Oct 29, 2010",534.040
"Nov 30, 2010",534.270
"Dec 31, 2010",593.450
"Jan 31, 2011",609.140
"Feb 28, 2011",571.470
"Mar 31, 2011",638.310
"Apr 29, 2011",680.320
"May 31, 2011",656.810
"Jun 30, 2011",644.140
"Jul 29, 2011",655.630
"Aug 31, 2011",567.800
"Sep 30, 2011",494.390
"Oct 31, 2011",568.930
"Nov 30, 2011",532.790
"Dec 30, 2011",523.640
"Jan 31, 2012",578.900
"Feb 29, 2012",607.710
"Mar 30, 2012",604.570
"Apr 30, 2012",605.430
"May 31, 2012",536.700
"Jun 29, 2012",552.430
"Jul 31, 2012",572.430
"Aug 31, 2012",567.510
"Sep 28, 2012",606.970
"Oct 31, 2012",589.400
"Nov 30, 2012",604.990
"Dec 31, 2012",636.100
"Jan 31, 2013",612.540
"Feb 28, 2013",643.180
"Mar 29, 2013",615.660
"Apr 30, 2013",600.910
"May 31, 2013",603.730
"Jun 28, 2013",554.370
"Jul 31, 2013",574.850
"Aug 30, 2013",596.640
"Sep 30, 2013",637.050
"Oct 31, 2013",665.500
"Nov 29, 2013",673.800
"Dec 31, 2013",662.710
"Jan 31, 2014",626.510
"Feb 28, 2014",648.350
"Mar 31, 2014",649.680
"Apr 30, 2014",660.590
"May 30, 2014",685.490
"Jun 30, 2014",691.180
"Jul 31, 2014",703.720
"Aug 29, 2014",698.280
"Sep 30, 2014",641.000
"Oct 31, 2014",620.780
"Nov 28, 2014",604.980
"Dec 31, 2014",591.810
"Jan 30, 2015",606.180
"Feb 27, 2015",609.830
"Mar 31, 2015",617.620
"Apr 30, 2015",658.640
"May 29, 2015",621.070
"Jun 30, 2015",594.730
"Jul 31, 2015",546.960
"Aug 31, 2015",515.480
"Sep 30, 2015",524.530
"Oct 30, 2015",583.700
"Nov 30, 2015",563.220
"Dec 31, 2015",554.550
"Jan 29, 2016",523.530
"Feb 29, 2016",511.350
"Mar 31, 2016",583.440
"Apr 29, 2016",580.850
"May 31, 2016",553.600
"Jun 30, 2016",576.380
"Jul 29, 2016",611.580
"Aug 31, 2016",631.010
"Sep 30, 2016",639.630
"Oct 31, 2016",616.280
"Nov 30, 2016",600.300
"Dec 30, 2016",605.840
"Jan 31, 2017",652.590
"Feb 28, 2017",672.770
"Mar 31, 2017",708.210
"Apr 28, 2017",715.300
"May 31, 2017",773.110
"Jun 30, 2017",780.900
"Jul 31, 2017",805.750
"Aug 31, 2017",785.720
"Sep 29, 2017",802.090
"Oct 31, 2017",869.500
"Nov 30, 2017",869.540
"Dec 29, 2017",895.430
"Jan 31, 2018",928.520
"Feb 28, 2018",869.680
"Mar 30, 2018",892.080
"Apr 30, 2018",916.600
"May 31, 2018",868.580
"Jun 29, 2018",811.010
"Jul 31, 2018",798.540
"Aug 31, 2018",813.470
"Sep 28, 2018",817.010
"Oct 31, 2018",699.860
"Nov 30, 2018",723.370
"Dec 31, 2018",712.190
"Jan 31, 2019",785.660
"Feb 28, 2019",771.000
"Mar 29, 2019",747.610
