Date,Mexico
"Dec 31, 1987",100.000
"Jan 29, 1988",121.170
"Feb 29, 1988",156.220
"Mar 31, 1988",141.000
"Apr 29, 1988",129.810
"May 31, 1988",155.820
"Jun 30, 1988",164.210
"Jul 29, 1988",156.460
"Aug 31, 1988",160.030
"Sep 30, 1988",165.590
"Oct 31, 1988",162.670
"Nov 30, 1988",186.340
"Dec 30, 1988",171.980
"Jan 31, 1989",169.800
"Feb 28, 1989",163.880
"Mar 31, 1989",179.030
"Apr 28, 1989",197.800
"May 31, 1989",230.180
"Jun 30, 1989",259.960
"Jul 31, 1989",272.870
"Aug 31, 1989",311.120
"Sep 29, 1989",328.560
"Oct 31, 1989",315.250
"Nov 30, 1989",298.290
"Dec 29, 1989",325.380
"Jan 31, 1990",351.950
"Feb 28, 1990",373.200
"Mar 30, 1990",378.250
"Apr 30, 1990",403.760
"May 31, 1990",511.250
"Jun 29, 1990",481.800
"Jul 31, 1990",542.790
"Aug 31, 1990",484.350
"Sep 28, 1990",437.510
"Oct 31, 1990",512.970
"Nov 30, 1990",530.650
"Dec 31, 1990",529.230
"Jan 31, 1991",517.050
"Feb 28, 1991",545.470
"Mar 29, 1991",692.500
"Apr 30, 1991",784.240
"May 31, 1991",913.380
"Jun 28, 1991",864.890
"Jul 31, 1991",983.440
"Aug 30, 1991","1,037.030"
"Sep 30, 1991","1,015.930"
"Oct 31, 1991","1,132.740"
"Nov 29, 1991","1,155.370"
"Dec 31, 1991","1,196.300"
"Jan 31, 1992","1,330.000"
"Feb 28, 1992","1,535.220"
"Mar 31, 1992","1,546.530"
"Apr 30, 1992","1,483.820"
"May 29, 1992","1,505.210"
"Jun 30, 1992","1,260.090"
"Jul 31, 1992","1,274.550"
"Aug 31, 1992","1,190.480"
"Sep 30, 1992","1,134.910"
"Oct 30, 1992","1,344.760"
"Nov 30, 1992","1,452.780"
"Dec 31, 1992","1,495.130"
"Jan 29, 1993","1,411.230"
"Feb 26, 1993","1,328.130"
"Mar 31, 1993","1,508.280"
"Apr 30, 1993","1,403.790"
"May 31, 1993","1,387.300"
"Jun 30, 1993","1,406.580"
"Jul 30, 1993","1,485.290"
"Aug 31, 1993","1,627.270"
"Sep 30, 1993","1,570.070"
"Oct 29, 1993","1,732.020"
"Nov 30, 1993","1,912.280"
"Dec 31, 1993","2,232.990"
"Jan 31, 1994","2,409.700"
"Feb 28, 1994","2,193.950"
"Mar 31, 1994","1,943.390"
"Apr 29, 1994","1,890.130"
"May 31, 1994","2,036.940"
"Jun 30, 1994","1,822.130"
"Jul 29, 1994","1,979.100"
"Aug 31, 1994","2,124.320"
"Sep 30, 1994","2,159.890"
"Oct 31, 1994","1,983.760"
"Nov 30, 1994","2,003.760"
"Dec 30, 1994","1,327.460"
"Jan 31, 1995","1,037.230"
"Feb 28, 1995",789.930
"Mar 31, 1995",804.290
"Apr 28, 1995",957.160
"May 31, 1995",929.580
"Jun 30, 1995","1,028.810"
"Jul 31, 1995","1,123.160"
"Aug 31, 1995","1,161.570"
"Sep 29, 1995","1,091.490"
"Oct 31, 1995",947.650
"Nov 30, 1995","1,029.610"
"Dec 29, 1995","1,057.030"
"Jan 31, 1996","1,184.100"
"Feb 29, 1996","1,075.750"
"Mar 29, 1996","1,162.020"
"Apr 30, 1996","1,228.790"
"May 31, 1996","1,237.070"
"Jun 28, 1996","1,223.060"
"Jul 31, 1996","1,143.960"
"Aug 30, 1996","1,249.650"
"Sep 30, 1996","1,247.850"
"Oct 31, 1996","1,173.140"
"Nov 29, 1996","1,223.410"
"Dec 31, 1996","1,254.740"
"Jan 31, 1997","1,362.740"
"Feb 28, 1997","1,411.360"
"Mar 31, 1997","1,383.080"
"Apr 30, 1997","1,389.690"
"May 30, 1997","1,471.360"
"Jun 30, 1997","1,640.060"
"Jul 31, 1997","1,890.150"
"Aug 29, 1997","1,737.880"
"Sep 30, 1997","1,998.780"
"Oct 31, 1997","1,628.140"
"Nov 28, 1997","1,786.180"
"Dec 31, 1997","1,931.320"
"Jan 30, 1998","1,660.190"
"Feb 27, 1998","1,718.180"
"Mar 31, 1998","1,808.200"
"Apr 30, 1998","1,848.860"
"May 29, 1998","1,600.750"
"Jun 30, 1998","1,501.890"
"Jul 31, 1998","1,483.370"
"Aug 31, 1998",975.300
"Sep 30, 1998","1,161.980"
"Oct 30, 1998","1,301.410"
"Nov 30, 1998","1,221.240"
"Dec 31, 1998","1,283.800"
"Jan 29, 1999","1,267.460"
"Feb 26, 1999","1,391.870"
"Mar 31, 1999","1,652.880"
"Apr 30, 1999","1,847.680"
"May 31, 1999","1,800.940"
"Jun 30, 1999","1,955.320"
"Jul 30, 1999","1,767.470"
"Aug 31, 1999","1,709.640"
"Sep 30, 1999","1,687.010"
"Oct 29, 1999","1,776.860"
"Nov 30, 1999","2,026.340"
"Dec 31, 1999","2,311.720"
"Jan 31, 2000","2,076.830"
"Feb 29, 2000","2,360.860"
"Mar 31, 2000","2,416.060"
"Apr 28, 2000","2,150.750"
"May 31, 2000","1,933.240"
"Jun 30, 2000","2,174.040"
"Jul 31, 2000","2,124.470"
"Aug 31, 2000","2,223.900"
"Sep 29, 2000","2,051.980"
"Oct 31, 2000","2,096.430"
"Nov 30, 2000","1,882.550"
"Dec 29, 2000","1,838.070"
"Jan 31, 2001","2,115.280"
"Feb 28, 2001","1,970.740"
"Mar 30, 2001","1,907.290"
"Apr 30, 2001","2,090.140"
"May 31, 2001","2,264.280"
"Jun 29, 2001","2,299.500"
"Jul 31, 2001","2,223.170"
"Aug 31, 2001","2,165.510"
"Sep 28, 2001","1,827.980"
"Oct 31, 2001","1,943.260"
"Nov 30, 2001","2,010.830"
"Dec 31, 2001","2,178.960"
"Jan 31, 2002","2,369.070"
"Feb 28, 2002","2,308.680"
"Mar 29, 2002","2,555.670"
"Apr 30, 2002","2,514.180"
"May 31, 2002","2,312.010"
"Jun 28, 2002","2,076.780"
"Jul 31, 2002","1,929.710"
"Aug 30, 2002","1,978.290"
"Sep 30, 2002","1,765.580"
"Oct 31, 2002","1,881.790"
"Nov 29, 2002","1,970.750"
"Dec 31, 2002","1,888.870"
"Jan 31, 2003","1,789.230"
"Feb 28, 2003","1,747.570"
"Mar 31, 2003","1,777.030"
"Apr 30, 2003","2,039.840"
"May 30, 2003","2,096.350"
"Jun 30, 2003","2,180.560"
"Jul 31, 2003","2,274.050"
"Aug 29, 2003","2,235.770"
"Sep 30, 2003","2,281.050"
"Oct 31, 2003","2,339.110"
"Nov 28, 2003","2,426.230"
"Dec 31, 2003","2,508.700"
"Jan 30, 2004","2,722.140"
"Feb 27, 2004","2,873.210"
"Mar 31, 2004","3,008.000"
"Apr 30, 2004","2,792.720"
