Date,Netherlands
"Dec 31, 1969",100.000
"Jan 30, 1970",94.640
"Feb 27, 1970",95.530
"Mar 31, 1970",96.900
"Apr 30, 1970",90.930
"May 29, 1970",88.810
"Jun 30, 1970",88.920
"Jul 31, 1970",96.770
"Aug 31, 1970",103.310
"Sep 30, 1970",101.660
"Oct 30, 1970",101.770
"Nov 30, 1970",91.620
"Dec 31, 1970",93.450
"Jan 29, 1971",95.940
"Feb 26, 1971",96.270
"Mar 31, 1971",97.590
"Apr 30, 1971",102.130
"May 31, 1971",103.580
"Jun 30, 1971",102.500
"Jul 30, 1971",104.450
"Aug 31, 1971",99.860
"Sep 30, 1971",94.190
"Oct 29, 1971",90.870
"Nov 30, 1971",88.710
"Dec 31, 1971",95.070
"Jan 31, 1972",102.390
"Feb 29, 1972",107.990
"Mar 31, 1972",106.260
"Apr 28, 1972",106.810
"May 31, 1972",119.360
"Jun 30, 1972",116.150
"Jul 31, 1972",123.190
"Aug 31, 1972",124.290
"Sep 29, 1972",117.940
"Oct 31, 1972",119.120
"Nov 30, 1972",121.360
"Dec 29, 1972",123.270
"Jan 31, 1973",130.030
"Feb 28, 1973",140.900
"Mar 30, 1973",147.010
"Apr 30, 1973",144.130
"May 31, 1973",143.930
"Jun 29, 1973",146.730
"Jul 31, 1973",147.050
"Aug 31, 1973",138.150
"Sep 28, 1973",142.610
"Oct 31, 1973",140.530
"Nov 30, 1973",115.520
"Dec 31, 1973",117.330
"Jan 31, 1974",115.680
"Feb 28, 1974",115.140
"Mar 29, 1974",116.480
"Apr 30, 1974",122.020
"May 31, 1974",115.890
"Jun 28, 1974",111.740
"Jul 31, 1974",114.710
"Aug 30, 1974",100.610
"Sep 30, 1974",90.460
"Oct 31, 1974",92.180
"Nov 29, 1974",95.410
"Dec 31, 1974",98.920
"Jan 31, 1975",124.320
"Feb 28, 1975",136.110
"Mar 31, 1975",134.470
"Apr 30, 1975",138.360
"May 30, 1975",132.800
"Jun 30, 1975",136.960
"Jul 31, 1975",128.890
"Aug 29, 1975",129.430
"Sep 30, 1975",118.820
"Oct 31, 1975",130.040
"Nov 28, 1975",140.010
"Dec 31, 1975",148.670
"Jan 30, 1976",161.060
"Feb 27, 1976",158.980
"Mar 31, 1976",166.520
"Apr 30, 1976",167.400
"May 31, 1976",162.710
"Jun 30, 1976",160.090
"Jul 30, 1976",159.990
"Aug 31, 1976",159.110
