Date,Poland
"Dec 31, 1992",100.000
"Jan 29, 1993",102.320
"Feb 26, 1993",102.940
"Mar 31, 1993",120.360
"Apr 30, 1993",168.020
"May 31, 1993",365.100
"Jun 30, 1993",320.240
"Jul 30, 1993",363.230
"Aug 31, 1993",483.960
"Sep 30, 1993",494.850
"Oct 29, 1993",600.160
"Nov 30, 1993",663.430
"Dec 31, 1993",853.970
"Jan 31, 1994","1,077.200"
"Feb 28, 1994","1,280.450"
"Mar 31, 1994",889.680
"Apr 29, 1994",672.560
"May 31, 1994",684.870
"Jun 30, 1994",493.560
"Jul 29, 1994",601.890
"Aug 31, 1994",623.300
"Sep 30, 1994",510.890
"Oct 31, 1994",420.190
"Nov 30, 1994",434.950
"Dec 30, 1994",386.740
"Jan 31, 1995",316.050
"Feb 28, 1995",332.960
"Mar 31, 1995",325.180
"Apr 28, 1995",455.930
"May 31, 1995",413.910
"Jun 30, 1995",445.300
"Jul 31, 1995",426.210
"Aug 31, 1995",409.380
"Sep 29, 1995",438.270
"Oct 31, 1995",393.580
"Nov 30, 1995",385.100
"Dec 29, 1995",375.960
"Jan 31, 1996",499.150
"Feb 29, 1996",503.200
"Mar 29, 1996",498.520
"Apr 30, 1996",523.200
"May 31, 1996",497.550
"Jun 28, 1996",571.600
"Jul 31, 1996",545.440
"Aug 30, 1996",592.480
"Sep 30, 1996",616.860
"Oct 31, 1996",559.140
"Nov 29, 1996",578.620
"Dec 31, 1996",597.240
"Jan 31, 1997",651.540
"Feb 28, 1997",694.540
"Mar 31, 1997",640.810
"Apr 30, 1997",602.140
"May 30, 1997",582.720
"Jun 30, 1997",549.020
"Jul 31, 1997",514.730
"Aug 29, 1997",568.950
"Sep 30, 1997",597.000
"Oct 31, 1997",504.270
"Nov 28, 1997",450.570
"Dec 31, 1997",463.490
"Jan 30, 1998",456.480
"Feb 27, 1998",583.420
"Mar 31, 1998",549.950
"Apr 30, 1998",604.170
"May 29, 1998",530.510
"Jun 30, 1998",535.050
"Jul 31, 1998",579.460
"Aug 31, 1998",377.690
"Sep 30, 1998",392.750
"Oct 30, 1998",428.680
"Nov 30, 1998",401.240
"Dec 31, 1998",432.490
"Jan 29, 1999",506.770
"Feb 26, 1999",406.050
"Mar 31, 1999",442.460
"Apr 30, 1999",498.530
"May 31, 1999",502.520
"Jun 30, 1999",565.950
"Jul 30, 1999",580.880
"Aug 31, 1999",567.570
"Sep 30, 1999",445.950
"Oct 29, 1999",460.280
"Nov 30, 1999",477.930
"Dec 31, 1999",568.730
"Jan 31, 2000",590.390
"Feb 29, 2000",679.420
"Mar 31, 2000",676.700
"Apr 28, 2000",571.780
"May 31, 2000",570.000
