Date,Russia
"Dec 30, 1994",100.000
"Jan 31, 1995",78.010
"Feb 28, 1995",62.430
"Mar 31, 1995",67.860
"Apr 28, 1995",51.820
"May 31, 1995",68.600
"Jun 30, 1995",98.090
"Jul 31, 1995",98.050
"Aug 31, 1995",84.970
"Sep 29, 1995",80.790
"Oct 31, 1995",68.190
"Nov 30, 1995",65.380
"Dec 29, 1995",72.910
"Jan 31, 1996",74.410
"Feb 29, 1996",66.760
"Mar 29, 1996",69.810
"Apr 30, 1996",97.480
"May 31, 1996",133.720
"Jun 28, 1996",190.660
"Jul 31, 1996",141.730
"Aug 30, 1996",174.910
"Sep 30, 1996",156.000
"Oct 31, 1996",170.440
"Nov 29, 1996",175.180
"Dec 31, 1996",184.400
"Jan 31, 1997",254.630
"Feb 28, 1997",300.800
"Mar 31, 1997",277.310
"Apr 30, 1997",299.790
"May 30, 1997",337.340
"Jun 30, 1997",401.540
"Jul 31, 1997",467.650
"Aug 29, 1997",442.530
"Sep 30, 1997",476.190
"Oct 31, 1997",407.880
"Nov 28, 1997",321.020
"Dec 31, 1997",391.160
"Jan 30, 1998",273.670
"Feb 27, 1998",321.230
"Mar 31, 1998",339.330
"Apr 30, 1998",331.260
"May 29, 1998",200.930
"Jun 30, 1998",159.040
"Jul 31, 1998",162.430
"Aug 31, 1998",64.050
"Sep 30, 1998",39.510
"Oct 30, 1998",61.110
"Nov 30, 1998",85.170
"Dec 31, 1998",66.530
"Jan 29, 1999",62.990
"Feb 26, 1999",85.970
"Mar 31, 1999",108.520
"Apr 30, 1999",126.270
"May 31, 1999",131.790
"Jun 30, 1999",155.460
"Jul 30, 1999",150.460
"Aug 31, 1999",127.300
"Sep 30, 1999",106.660
"Oct 29, 1999",124.580
"Nov 30, 1999",143.290
"Dec 31, 1999",230.890
"Jan 31, 2000",211.820
"Feb 29, 2000",206.290
"Mar 31, 2000",283.780
"Apr 28, 2000",277.890
"May 31, 2000",236.040
"Jun 30, 2000",218.000
"Jul 31, 2000",243.990
"Aug 31, 2000",290.670
"Sep 29, 2000",238.280
"Oct 31, 2000",223.700
"Nov 30, 2000",157.370
"Dec 29, 2000",161.560
"Jan 31, 2001",192.930
"Feb 28, 2001",176.750
"Mar 30, 2001",175.370
"Apr 30, 2001",191.280
"May 31, 2001",225.840
"Jun 29, 2001",223.540
"Jul 31, 2001",201.890
"Aug 31, 2001",212.060
"Sep 28, 2001",180.500
"Oct 31, 2001",203.080
"Nov 30, 2001",228.190
"Dec 31, 2001",251.810
"Jan 31, 2002",274.810
"Feb 28, 2002",253.820
"Mar 29, 2002",298.440
"Apr 30, 2002",325.550
"May 31, 2002",331.480
"Jun 28, 2002",297.690
"Jul 31, 2002",267.990
"Aug 30, 2002",276.740
"Sep 30, 2002",274.690
"Oct 31, 2002",297.340
"Nov 29, 2002",296.880
"Dec 31, 2002",291.360
"Jan 31, 2003",276.830
"Feb 28, 2003",305.260
"Mar 31, 2003",286.040
"Apr 30, 2003",346.460
"May 30, 2003",395.420
"Jun 30, 2003",425.950
"Jul 31, 2003",394.050
"Aug 29, 2003",448.630
"Sep 30, 2003",484.570
"Oct 31, 2003",452.100
"Nov 28, 2003",479.740
"Dec 31, 2003",512.610
"Jan 30, 2004",544.950
"Feb 27, 2004",592.270
"Mar 31, 2004",663.950
"Apr 30, 2004",557.490
"May 31, 2004",532.500
"Jun 30, 2004",529.490
"Jul 30, 2004",486.280
"Aug 31, 2004",532.170
"Sep 30, 2004",572.470
"Oct 29, 2004",598.670
"Nov 30, 2004",561.660
"Dec 31, 2004",541.770
"Jan 31, 2005",558.070
"Feb 28, 2005",620.800
"Mar 31, 2005",572.120
"Apr 29, 2005",577.320
"May 31, 2005",587.330
"Jun 30, 2005",607.860
"Jul 29, 2005",674.120
