Date,Singapore
"Dec 31, 1969",100.000
"Jan 30, 1970",98.980
"Feb 27, 1970",100.570
"Mar 31, 1970",98.050
"Apr 30, 1970",91.940
"May 29, 1970",91.680
"Jun 30, 1970",92.390
"Jul 31, 1970",93.350
"Aug 31, 1970",92.460
"Sep 30, 1970",93.330
"Oct 30, 1970",94.220
"Nov 30, 1970",93.190
"Dec 31, 1970",96.150
"Jan 29, 1971",102.400
"Feb 26, 1971",101.440
"Mar 31, 1971",103.770
"Apr 30, 1971",106.330
"May 31, 1971",116.870
"Jun 30, 1971",121.020
"Jul 30, 1971",127.270
"Aug 31, 1971",131.310
"Sep 30, 1971",142.750
"Oct 29, 1971",147.370
"Nov 30, 1971",152.740
"Dec 31, 1971",157.440
"Jan 31, 1972",168.130
"Feb 29, 1972",179.830
"Mar 31, 1972",215.270
"Apr 28, 1972",219.930
"May 31, 1972",216.940
"Jun 30, 1972",225.790
"Jul 31, 1972",258.070
"Aug 31, 1972",268.950
"Sep 29, 1972",258.060
"Oct 31, 1972",273.730
"Nov 30, 1972",359.140
"Dec 29, 1972",501.440
"Jan 31, 1973",582.730
"Feb 28, 1973",513.530
"Mar 30, 1973",525.510
"Apr 30, 1973",407.290
"May 31, 1973",501.270
"Jun 29, 1973",523.620
"Jul 31, 1973",491.310
"Aug 31, 1973",403.900
"Sep 28, 1973",434.820
"Oct 31, 1973",455.400
"Nov 30, 1973",377.370
"Dec 31, 1973",336.330
"Jan 31, 1974",345.740
"Feb 28, 1974",344.190
"Mar 29, 1974",322.840
"Apr 30, 1974",288.260
"May 31, 1974",321.860
"Jun 28, 1974",298.910
"Jul 31, 1974",257.360
"Aug 30, 1974",225.830
"Sep 30, 1974",200.750
"Oct 31, 1974",210.020
"Nov 29, 1974",174.160
"Dec 31, 1974",173.910
"Jan 31, 1975",266.550
"Feb 28, 1975",325.930
"Mar 31, 1975",350.500
"Apr 30, 1975",345.290
"May 30, 1975",321.710
"Jun 30, 1975",287.090
"Jul 31, 1975",265.120
"Aug 29, 1975",255.740
"Sep 30, 1975",251.720
"Oct 31, 1975",278.220
"Nov 28, 1975",269.350
"Dec 31, 1975",284.880
"Jan 30, 1976",352.280
"Feb 27, 1976",342.970
"Mar 31, 1976",314.620
"Apr 30, 1976",334.890
"May 31, 1976",322.280
"Jun 30, 1976",329.160
"Jul 30, 1976",320.260
"Aug 31, 1976",333.850
"Sep 30, 1976",335.320
"Oct 29, 1976",316.640
"Nov 30, 1976",305.860
"Dec 31, 1976",324.520
"Jan 31, 1977",322.300
"Feb 28, 1977",319.260
"Mar 31, 1977",311.410
"Apr 29, 1977",305.330
"May 31, 1977",305.650
"Jun 30, 1977",319.600
"Jul 29, 1977",329.460
"Aug 31, 1977",334.020
"Sep 30, 1977",326.200
"Oct 31, 1977",328.820
"Nov 30, 1977",337.000
"Dec 30, 1977",343.690
"Jan 31, 1978",338.740
"Feb 28, 1978",342.130
"Mar 31, 1978",373.460
"Apr 28, 1978",392.600
"May 31, 1978",416.640
"Jun 30, 1978",467.260
"Jul 31, 1978",485.710
"Aug 31, 1978",565.860
"Sep 29, 1978",502.270
"Oct 31, 1978",578.590
"Nov 30, 1978",480.510
"Dec 29, 1978",498.850
"Jan 31, 1979",545.770
"Feb 28, 1979",511.990
"Mar 30, 1979",545.160
"Apr 30, 1979",559.570
"May 31, 1979",586.020
"Jun 29, 1979",563.700
"Jul 31, 1979",578.870
"Aug 31, 1979",603.170
"Sep 28, 1979",641.800
"Oct 31, 1979",592.260
"Nov 30, 1979",604.270
"Dec 31, 1979",641.460
"Jan 31, 1980",717.280
"Feb 29, 1980",744.850
"Mar 31, 1980",655.210
"Apr 30, 1980",702.620
"May 30, 1980",798.250
"Jun 30, 1980",867.940
"Jul 31, 1980",908.700
