Date,South Africa
"Dec 31, 1992",100.000
"Jan 29, 1993",109.400
"Feb 26, 1993",114.500
"Mar 31, 1993",117.990
"Apr 30, 1993",122.090
"May 31, 1993",129.180
"Jun 30, 1993",129.890
"Jul 30, 1993",139.880
"Aug 31, 1993",127.760
"Sep 30, 1993",137.070
"Oct 29, 1993",142.650
"Nov 30, 1993",142.520
"Dec 31, 1993",172.980
"Jan 31, 1994",163.670
"Feb 28, 1994",158.170
"Mar 31, 1994",153.420
"Apr 29, 1994",182.130
"May 31, 1994",175.180
"Jun 30, 1994",175.680
"Jul 29, 1994",187.770
"Aug 31, 1994",200.250
"Sep 30, 1994",206.570
"Oct 31, 1994",223.100
"Nov 30, 1994",220.320
"Dec 30, 1994",227.340
"Jan 31, 1995",193.810
"Feb 28, 1995",208.720
"Mar 31, 1995",237.090
"Apr 28, 1995",242.540
"May 31, 1995",236.780
"Jun 30, 1995",237.410
"Jul 31, 1995",241.050
"Aug 31, 1995",242.600
"Sep 29, 1995",248.800
"Oct 31, 1995",254.440
"Nov 30, 1995",260.250
"Dec 29, 1995",272.770
"Jan 31, 1996",296.910
"Feb 29, 1996",273.500
"Mar 29, 1996",268.100
"Apr 30, 1996",257.350
"May 31, 1996",251.020
"Jun 28, 1996",253.280
"Jul 31, 1996",232.630
"Aug 30, 1996",235.220
"Sep 30, 1996",238.120
"Oct 31, 1996",233.400
"Nov 29, 1996",229.090
"Dec 31, 1996",223.500
"Jan 31, 1997",230.790
"Feb 28, 1997",252.240
"Mar 31, 1997",255.150
"Apr 30, 1997",256.230
"May 30, 1997",249.860
"Jun 30, 1997",260.640
"Jul 31, 1997",262.970
"Aug 29, 1997",251.710
"Sep 30, 1997",247.260
"Oct 31, 1997",220.160
"Nov 28, 1997",209.970
"Dec 31, 1997",205.210
"Jan 30, 1998",213.870
"Feb 27, 1998",224.430
"Mar 31, 1998",239.810
"Apr 30, 1998",260.810
"May 29, 1998",229.560
"Jun 30, 1998",176.110
"Jul 31, 1998",173.090
"Aug 31, 1998",120.280
"Sep 30, 1998",141.830
"Oct 30, 1998",169.420
"Nov 30, 1998",162.780
"Dec 31, 1998",148.660
"Jan 29, 1999",157.090
"Feb 26, 1999",156.310
"Mar 31, 1999",168.180
"Apr 30, 1999",188.330
"May 31, 1999",168.170
"Jun 30, 1999",193.510
"Jul 30, 1999",187.160
"Aug 31, 1999",185.100
"Sep 30, 1999",187.680
"Oct 29, 1999",196.020
"Nov 30, 1999",205.620
"Dec 31, 1999",233.690
"Jan 31, 2000",227.350
"Feb 29, 2000",221.050
"Mar 31, 2000",210.210
"Apr 28, 2000",191.690
"May 31, 2000",186.450
"Jun 30, 2000",197.970
"Jul 31, 2000",193.880
"Aug 31, 2000",215.180
"Sep 29, 2000",202.720
"Oct 31, 2000",186.100
"Nov 30, 2000",173.190
"Dec 29, 2000",193.530
"Jan 31, 2001",205.070
"Feb 28, 2001",205.900
"Mar 30, 2001",178.050
"Apr 30, 2001",198.940
"May 31, 2001",210.460
"Jun 29, 2001",202.900
"Jul 31, 2001",178.960
"Aug 31, 2001",187.490
"Sep 28, 2001",159.000
"Oct 31, 2001",162.110
"Nov 30, 2001",166.440
"Dec 31, 2001",160.230
"Jan 31, 2002",167.300
"Feb 28, 2002",176.260
"Mar 29, 2002",179.790
"Apr 30, 2002",196.020
"May 31, 2002",215.740
"Jun 28, 2002",193.890
"Jul 31, 2002",163.450
"Aug 30, 2002",169.080
"Sep 30, 2002",169.340
"Oct 31, 2002",176.860
"Nov 29, 2002",193.920
"Dec 31, 2002",205.080
"Jan 31, 2003",197.830
"Feb 28, 2003",199.750
"Mar 31, 2003",189.950
"Apr 30, 2003",201.100
"May 30, 2003",207.410
"Jun 30, 2003",215.790
"Jul 31, 2003",230.270
"Aug 29, 2003",245.250
"Sep 30, 2003",248.450
"Oct 31, 2003",274.170
"Nov 28, 2003",294.530
"Dec 31, 2003",299.140
"Jan 30, 2004",296.980
"Feb 27, 2004",314.490
"Mar 31, 2004",326.470
"Apr 30, 2004",283.230
"May 31, 2004",303.970
"Jun 30, 2004",307.620
"Jul 30, 2004",310.840
"Aug 31, 2004",322.300
"Sep 30, 2004",349.130
"Oct 29, 2004",364.210
"Nov 30, 2004",415.130
"Dec 31, 2004",433.480
