Date,Sweden
"Dec 31, 1969",100.000
"Jan 30, 1970",96.230
"Feb 27, 1970",90.240
"Mar 31, 1970",92.890
"Apr 30, 1970",83.630
"May 29, 1970",77.980
"Jun 30, 1970",83.570
"Jul 31, 1970",91.050
"Aug 31, 1970",85.350
"Sep 30, 1970",83.330
"Oct 30, 1970",74.870
"Nov 30, 1970",81.400
"Dec 31, 1970",81.000
"Jan 29, 1971",87.040
"Feb 26, 1971",91.260
"Mar 31, 1971",94.240
"Apr 30, 1971",91.330
"May 31, 1971",94.610
"Jun 30, 1971",95.670
"Jul 30, 1971",96.380
"Aug 31, 1971",97.710
"Sep 30, 1971",95.570
"Oct 29, 1971",99.920
"Nov 30, 1971",106.830
"Dec 31, 1971",110.350
"Jan 31, 1972",115.010
"Feb 29, 1972",114.030
"Mar 31, 1972",122.700
"Apr 28, 1972",125.090
"May 31, 1972",120.470
"Jun 30, 1972",121.920
"Jul 31, 1972",124.870
"Aug 31, 1972",130.460
"Sep 29, 1972",129.640
"Oct 31, 1972",128.130
"Nov 30, 1972",132.160
"Dec 29, 1972",128.960
"Jan 31, 1973",134.750
"Feb 28, 1973",143.470
"Mar 30, 1973",139.040
"Apr 30, 1973",142.000
"May 31, 1973",151.010
"Jun 29, 1973",158.580
"Jul 31, 1973",161.240
"Aug 31, 1973",148.900
"Sep 28, 1973",149.060
"Oct 31, 1973",152.650
"Nov 30, 1973",133.980
"Dec 31, 1973",132.630
"Jan 31, 1974",136.060
"Feb 28, 1974",147.980
"Mar 29, 1974",160.910
"Apr 30, 1974",167.380
"May 31, 1974",153.330
"Jun 28, 1974",149.900
"Jul 31, 1974",155.680
"Aug 30, 1974",140.170
"Sep 30, 1974",136.970
"Oct 31, 1974",148.730
"Nov 29, 1974",143.550
"Dec 31, 1974",148.220
"Jan 31, 1975",164.570
"Feb 28, 1975",181.240
"Mar 31, 1975",177.360
"Apr 30, 1975",184.420
"May 30, 1975",179.820
"Jun 30, 1975",187.700
"Jul 31, 1975",178.610
"Aug 29, 1975",170.920
"Sep 30, 1975",172.990
"Oct 31, 1975",182.090
"Nov 28, 1975",176.830
"Dec 31, 1975",179.600
"Jan 30, 1976",188.430
"Feb 27, 1976",189.500
"Mar 31, 1976",191.650
"Apr 30, 1976",211.480
"May 31, 1976",201.300
"Jun 30, 1976",199.600
"Jul 30, 1976",200.810
"Aug 31, 1976",189.690
"Sep 30, 1976",187.820
"Oct 29, 1976",172.950
"Nov 30, 1976",179.710
"Dec 31, 1976",191.070
"Jan 31, 1977",173.120
"Feb 28, 1977",192.930
"Mar 31, 1977",195.640
"Apr 29, 1977",185.830
"May 31, 1977",181.110
"Jun 30, 1977",162.760
"Jul 29, 1977",160.850
"Aug 31, 1977",137.310
"Sep 30, 1977",147.710
"Oct 31, 1977",141.630
"Nov 30, 1977",133.720
"Dec 30, 1977",150.270
"Jan 31, 1978",164.250
"Feb 28, 1978",162.100
"Mar 31, 1978",173.620
"Apr 28, 1978",181.730
"May 31, 1978",175.860
"Jun 30, 1978",180.250
"Jul 31, 1978",196.920
"Aug 31, 1978",201.660
"Sep 29, 1978",191.770
"Oct 31, 1978",194.860
"Nov 30, 1978",181.330
"Dec 29, 1978",186.230
