Date,Switzerland
"Dec 31, 1969",100.000
"Jan 30, 1970",97.500
"Feb 27, 1970",95.890
"Mar 31, 1970",95.860
"Apr 30, 1970",86.780
"May 29, 1970",84.600
"Jun 30, 1970",85.100
"Jul 31, 1970",88.380
"Aug 31, 1970",92.320
"Sep 30, 1970",88.410
"Oct 30, 1970",87.340
"Nov 30, 1970",83.880
"Dec 31, 1970",86.800
"Jan 29, 1971",94.620
"Feb 26, 1971",95.190
"Mar 31, 1971",100.240
"Apr 30, 1971",103.140
"May 31, 1971",99.280
"Jun 30, 1971",104.020
"Jul 30, 1971",106.380
"Aug 31, 1971",107.600
"Sep 30, 1971",103.850
"Oct 29, 1971",96.170
"Nov 30, 1971",106.270
"Dec 31, 1971",110.630
"Jan 31, 1972",119.990
"Feb 29, 1972",126.110
"Mar 31, 1972",129.530
"Apr 28, 1972",129.210
"May 31, 1972",138.810
"Jun 30, 1972",128.820
"Jul 31, 1972",137.740
"Aug 31, 1972",142.250
"Sep 29, 1972",141.530
"Oct 31, 1972",140.150
"Nov 30, 1972",135.580
"Dec 29, 1972",142.330
"Jan 31, 1973",148.460
"Feb 28, 1973",160.270
"Mar 30, 1973",157.180
"Apr 30, 1973",150.030
"May 31, 1973",165.250
"Jun 29, 1973",173.560
"Jul 31, 1973",161.500
"Aug 31, 1973",153.980
"Sep 28, 1973",162.130
"Oct 31, 1973",165.010
"Nov 30, 1973",141.000
"Dec 31, 1973",136.960
"Jan 31, 1974",141.190
"Feb 28, 1974",138.350
"Mar 29, 1974",145.080
"Apr 30, 1974",144.590
"May 31, 1974",125.770
"Jun 28, 1974",129.680
"Jul 31, 1974",134.500
"Aug 30, 1974",118.010
"Sep 30, 1974",107.350
"Oct 31, 1974",116.970
"Nov 29, 1974",119.150
"Dec 31, 1974",119.900
"Jan 31, 1975",149.370
"Feb 28, 1975",158.790
"Mar 31, 1975",155.190
"Apr 30, 1975",163.200
"May 30, 1975",161.300
"Jun 30, 1975",160.480
"Jul 31, 1975",151.900
"Aug 29, 1975",145.040
"Sep 30, 1975",134.120
"Oct 31, 1975",154.360
"Nov 28, 1975",161.990
"Dec 31, 1975",169.360
"Jan 30, 1976",175.970
"Feb 27, 1976",175.150
"Mar 31, 1976",175.960
"Apr 30, 1976",174.620
"May 31, 1976",176.230
"Jun 30, 1976",179.880
"Jul 30, 1976",180.010
"Aug 31, 1976",180.040
"Sep 30, 1976",179.250
"Oct 29, 1976",173.090
"Nov 30, 1976",174.880
"Dec 31, 1976",187.180
"Jan 31, 1977",185.190
"Feb 28, 1977",180.700
"Mar 31, 1977",182.610
"Apr 29, 1977",184.900
"May 31, 1977",179.250
"Jun 30, 1977",184.790
"Jul 29, 1977",189.100
"Aug 31, 1977",196.380
"Sep 30, 1977",208.950
"Oct 31, 1977",216.990
"Nov 30, 1977",224.700
"Dec 30, 1977",241.050
"Jan 31, 1978",254.700
"Feb 28, 1978",260.140
"Mar 31, 1978",257.770
"Apr 28, 1978",238.150
