Date,Turkey
"Dec 31, 1987",100.000
"Jan 29, 1988",116.350
"Feb 29, 1988",95.740
"Mar 31, 1988",82.810
"Apr 29, 1988",72.490
"May 31, 1988",68.730
"Jun 30, 1988",57.380
"Jul 29, 1988",60.050
"Aug 31, 1988",49.210
"Sep 30, 1988",50.000
"Oct 31, 1988",45.960
"Nov 30, 1988",45.080
"Dec 30, 1988",40.670
"Jan 31, 1989",39.360
"Feb 28, 1989",50.550
"Mar 31, 1989",48.750
"Apr 28, 1989",57.580
"May 31, 1989",70.710
"Jun 30, 1989",92.210
"Jul 31, 1989",82.990
"Aug 31, 1989",99.040
"Sep 29, 1989",171.590
"Oct 31, 1989",194.870
"Nov 30, 1989",175.530
"Dec 29, 1989",263.230
"Jan 31, 1990",368.750
"Feb 28, 1990",362.440
"Mar 30, 1990",311.790
"Apr 30, 1990",318.350
"May 31, 1990",349.100
"Jun 29, 1990",352.900
"Jul 31, 1990",389.650
"Aug 31, 1990",373.190
"Sep 28, 1990",391.320
"Oct 31, 1990",350.560
"Nov 30, 1990",256.320
"Dec 31, 1990",249.390
"Jan 31, 1991",320.030
"Feb 28, 1991",372.470
"Mar 29, 1991",297.290
"Apr 30, 1991",225.720
"May 31, 1991",215.590
"Jun 28, 1991",208.710
"Jul 31, 1991",171.220
"Aug 30, 1991",171.090
"Sep 30, 1991",145.690
"Oct 31, 1991",131.740
"Nov 29, 1991",190.610
"Dec 31, 1991",203.320
"Jan 31, 1992",204.500
"Feb 28, 1992",146.960
"Mar 31, 1992",152.230
"Apr 30, 1992",131.290
"May 29, 1992",117.730
"Jun 30, 1992",150.790
"Jul 31, 1992",145.050
"Aug 31, 1992",140.380
"Sep 30, 1992",137.710
"Oct 30, 1992",114.810
"Nov 30, 1992",112.000
"Dec 31, 1992",112.550
"Jan 29, 1993",118.640
"Feb 26, 1993",154.440
"Mar 31, 1993",148.090
"Apr 30, 1993",199.150
"May 31, 1993",203.810
"Jun 30, 1993",242.720
"Jul 30, 1993",215.070
"Aug 31, 1993",272.040
"Sep 30, 1993",327.460
"Oct 29, 1993",306.450
"Nov 30, 1993",362.930
"Dec 31, 1993",360.700
"Jan 31, 1994",291.890
"Feb 28, 1994",196.440
"Mar 31, 1994",137.490
"Apr 29, 1994",113.700
"May 31, 1994",122.880
"Jun 30, 1994",151.840
"Jul 29, 1994",170.680
"Aug 31, 1994",181.870
"Sep 30, 1994",191.490
"Oct 31, 1994",175.080
"Nov 30, 1994",192.140
"Dec 30, 1994",178.580
"Jan 31, 1995",157.190
"Feb 28, 1995",167.270
"Mar 31, 1995",227.650
"Apr 28, 1995",277.440
"May 31, 1995",276.920
"Jun 30, 1995",263.830
"Jul 31, 1995",281.210
"Aug 31, 1995",226.600
"Sep 29, 1995",209.060
"Oct 31, 1995",228.730
"Nov 30, 1995",179.770
"Dec 29, 1995",173.550
"Jan 31, 1996",204.390
"Feb 29, 1996",228.280
"Mar 29, 1996",235.360
"Apr 30, 1996",224.780
"May 31, 1996",211.770
"Jun 28, 1996",236.930
"Jul 31, 1996",202.160
"Aug 30, 1996",198.690
"Sep 30, 1996",217.590
"Oct 31, 1996",227.350
"Nov 29, 1996",240.190
"Dec 31, 1996",237.580
"Jan 31, 1997",362.540
"Feb 28, 1997",363.300
"Mar 31, 1997",350.680
"Apr 30, 1997",296.120
"May 30, 1997",329.390
"Jun 30, 1997",358.970
"Jul 31, 1997",347.850
"Aug 29, 1997",338.410
"Sep 30, 1997",416.260
"Oct 31, 1997",440.180
"Nov 28, 1997",432.090
"Dec 31, 1997",518.050
"Jan 30, 1998",493.910
"Feb 27, 1998",444.820
"Mar 31, 1998",405.440
"Apr 30, 1998",498.540
"May 29, 1998",423.600
"Jun 30, 1998",444.090
"Jul 31, 1998",456.110
"Aug 31, 1998",277.530
"Sep 30, 1998",233.610
"Oct 30, 1998",223.700
"Nov 30, 1998",249.780
"Dec 31, 1998",246.030
"Jan 29, 1999",231.770
"Feb 26, 1999",328.600
"Mar 31, 1999",369.970
"Apr 30, 1999",415.500
"May 31, 1999",376.550
"Jun 30, 1999",357.180
"Jul 30, 1999",402.810
"Aug 31, 1999",334.520
"Sep 30, 1999",385.450
"Oct 29, 1999",409.600
"Nov 30, 1999",503.210
"Dec 31, 1999",867.040
"Jan 31, 2000",909.150
