Date,United Kingdom
"Dec 31, 1969",100.000
"Jan 30, 1970",99.380
"Feb 27, 1970",94.180
"Mar 31, 1970",96.610
"Apr 30, 1970",86.860
"May 29, 1970",82.610
"Jun 30, 1970",86.470
"Jul 31, 1970",89.800
"Aug 31, 1970",89.700
"Sep 30, 1970",95.070
"Oct 30, 1970",94.960
"Nov 30, 1970",88.590
"Dec 31, 1970",94.230
"Jan 29, 1971",94.630
"Feb 26, 1971",93.030
"Mar 31, 1971",101.160
"Apr 30, 1971",112.500
"May 31, 1971",116.770
"Jun 30, 1971",118.910
"Jul 30, 1971",127.020
"Aug 31, 1971",128.900
"Sep 30, 1971",129.170
"Oct 29, 1971",125.960
"Nov 30, 1971",129.400
"Dec 31, 1971",139.600
"Jan 31, 1972",147.450
"Feb 29, 1972",156.630
"Mar 31, 1972",157.250
"Apr 28, 1972",162.390
"May 31, 1972",159.360
"Jun 30, 1972",144.850
"Jul 31, 1972",153.160
"Aug 31, 1972",154.260
"Sep 29, 1972",137.490
"Oct 31, 1972",137.250
"Nov 30, 1972",147.080
"Dec 29, 1972",145.080
"Jan 31, 1973",135.970
"Feb 28, 1973",138.000
"Mar 30, 1973",138.010
"Apr 30, 1973",139.790
"May 31, 1973",144.330
"Jun 29, 1973",143.830
"Jul 31, 1973",133.410
"Aug 31, 1973",126.190
"Sep 28, 1973",128.340
"Oct 31, 1973",133.070
"Nov 30, 1973",113.410
"Dec 31, 1973",107.370
"Jan 31, 1974",103.000
"Feb 28, 1974",110.320
"Mar 29, 1974",92.800
"Apr 30, 1974",100.460
"May 31, 1974",90.430
"Jun 28, 1974",82.010
"Jul 31, 1974",76.970
"Aug 30, 1974",65.920
"Sep 30, 1974",58.380
"Oct 31, 1974",60.740
"Nov 29, 1974",51.630
"Dec 31, 1974",53.010
"Jan 31, 1975",82.920
"Feb 28, 1975",105.230
"Mar 31, 1975",96.690
"Apr 30, 1975",111.860
"May 30, 1975",115.790
"Jun 30, 1975",97.900
"Jul 31, 1975",93.640
"Aug 29, 1975",105.990
"Sep 30, 1975",104.730
"Oct 31, 1975",111.040
"Nov 28, 1975",109.170
"Dec 31, 1975",114.510
"Jan 30, 1976",125.940
"Feb 27, 1976",122.030
"Mar 31, 1976",114.880
"Apr 30, 1976",115.110
"May 31, 1976",103.260
"Jun 30, 1976",103.560
"Jul 30, 1976",100.370
"Aug 31, 1976",95.580
"Sep 30, 1976",84.820
"Oct 29, 1976",73.850
"Nov 30, 1976",81.650
"Dec 31, 1976",100.160
"Jan 31, 1977",109.900
"Feb 28, 1977",112.700
"Mar 31, 1977",116.620
"Apr 29, 1977",120.800
"May 31, 1977",124.070
"Jun 30, 1977",128.120
"Jul 29, 1977",126.350
"Aug 31, 1977",141.600
"Sep 30, 1977",153.670
"Oct 31, 1977",156.460
"Nov 30, 1977",148.460
"Dec 30, 1977",158.570
"Jan 31, 1978",154.570
"Feb 28, 1978",146.410
"Mar 31, 1978",150.540
"Apr 28, 1978",150.440
"May 31, 1978",156.960
"Jun 30, 1978",155.390
"Jul 31, 1978",171.700
"Aug 31, 1978",176.690
"Sep 29, 1978",179.280
"Oct 31, 1978",184.500
"Nov 30, 1978",175.950
"Dec 29, 1978",181.880
"Jan 31, 1979",181.070
"Feb 28, 1979",196.980
"Mar 30, 1979",227.160
"Apr 30, 1979",238.620
"May 31, 1979",222.190
"Jun 29, 1979",223.620
"Jul 31, 1979",225.970
"Aug 31, 1979",232.030
"Sep 28, 1979",236.700
"Oct 31, 1979",212.540
"Nov 30, 1979",222.250
"Dec 31, 1979",222.380
"Jan 31, 1980",246.610
"Feb 29, 1980",261.260
"Mar 31, 1980",227.410
"Apr 30, 1980",246.250
"May 30, 1980",248.950
"Jun 30, 1980",280.890
"Jul 31, 1980",290.930
"Aug 29, 1980",298.450
"Sep 30, 1980",307.480
"Oct 31, 1980",334.850
"Nov 28, 1980",329.140
"Dec 31, 1980",314.740
"Jan 30, 1981",313.340
"Feb 27, 1981",303.630
"Mar 31, 1981",308.240
"Apr 30, 1981",316.460
"May 29, 1981",291.440
"Jun 30, 1981",279.870
"Jul 31, 1981",270.240
"Aug 31, 1981",282.460
"Sep 30, 1981",232.150
"Oct 30, 1981",245.560
"Nov 30, 1981",293.290
"Dec 31, 1981",281.560
"Jan 29, 1982",295.250
"Feb 26, 1982",274.120
"Mar 31, 1982",278.930
"Apr 30, 1982",286.100
"May 31, 1982",295.730
"Jun 30, 1982",277.200
"Jul 30, 1982",287.320
"Aug 31, 1982",292.020
"Sep 30, 1982",306.000
"Oct 29, 1982",311.820
"Nov 30, 1982",303.410
"Dec 31, 1982",307.920
"Jan 31, 1983",303.430
"Feb 28, 1983",305.250
"Mar 31, 1983",309.660
"Apr 29, 1983",353.590
"May 31, 1983",364.220
"Jun 30, 1983",367.310
"Jul 29, 1983",354.220
"Aug 31, 1983",351.150
"Sep 30, 1983",350.810
"Oct 31, 1983",345.030
"Nov 30, 1983",360.600
"Dec 30, 1983",361.420
"Jan 31, 1984",375.790
"Feb 29, 1984",391.010
"Mar 30, 1984",406.010
"Apr 30, 1984",403.670
"May 31, 1984",361.930
"Jun 29, 1984",364.960
"Jul 31, 1984",343.240
"Aug 31, 1984",377.920
"Sep 28, 1984",371.300
"Oct 31, 1984",369.370
"Nov 30, 1984",377.130
"Dec 31, 1984",382.090
"Jan 31, 1985",390.480
"Feb 28, 1985",369.880
"Mar 29, 1985",428.910
"Apr 30, 1985",439.540
"May 31, 1985",461.920
"Jun 28, 1985",446.570
"Jul 31, 1985",502.150
"Aug 30, 1985",529.010
"Sep 30, 1985",510.430
"Oct 31, 1985",565.440
"Nov 29, 1985",609.420
"Dec 31, 1985",584.670
"Jan 31, 1986",585.150
"Feb 28, 1986",654.980
"Mar 31, 1986",713.800
"Apr 30, 1986",755.830
"May 30, 1986",693.910
"Jun 30, 1986",749.580
"Jul 31, 1986",684.960
"Aug 29, 1986",727.960
"Sep 30, 1986",666.920
"Oct 31, 1986",680.630
"Nov 28, 1986",705.350
"Dec 31, 1986",742.240
"Jan 30, 1987",826.660
"Feb 27, 1987",926.810
"Mar 31, 1987",973.470
"Apr 30, 1987","1,038.510"
"May 29, 1987","1,097.330"
"Jun 30, 1987","1,135.080"
"Jul 31, 1987","1,158.620"
"Aug 31, 1987","1,134.720"
"Sep 30, 1987","1,192.940"
"Oct 30, 1987",936.050
"Nov 30, 1987",893.850
"Dec 31, 1987","1,002.670"
"Jan 29, 1988",996.090
"Feb 29, 1988",992.430
"Mar 31, 1988","1,039.870"
"Apr 29, 1988","1,067.760"
"May 31, 1988","1,037.130"
"Jun 30, 1988","1,003.400"
"Jul 29, 1988","1,013.260"
"Aug 31, 1988",944.980
"Sep 30, 1988",991.240
"Oct 31, 1988","1,069.910"
"Nov 30, 1988","1,081.630"
"Dec 30, 1988","1,062.360"
"Jan 31, 1989","1,182.640"
"Feb 28, 1989","1,151.980"
"Mar 31, 1989","1,159.320"
"Apr 28, 1989","1,175.680"
"May 31, 1989","1,093.790"
"Jun 30, 1989","1,102.720"
"Jul 31, 1989","1,269.320"
"Aug 31, 1989","1,239.780"
"Sep 29, 1989","1,233.090"
"Oct 31, 1989","1,116.350"
"Nov 30, 1989","1,175.950"
"Dec 29, 1989","1,294.690"
"Jan 31, 1990","1,303.360"
"Feb 28, 1990","1,267.810"
"Mar 30, 1990","1,231.220"
"Apr 30, 1990","1,152.210"
"May 31, 1990","1,323.850"
"Jun 29, 1990","1,402.620"
"Jul 31, 1990","1,463.120"
"Aug 31, 1990","1,385.280"
"Sep 28, 1990","1,262.250"
"Oct 31, 1990","1,364.220"
"Nov 30, 1990","1,438.510"
"Dec 31, 1990","1,427.960"
"Jan 31, 1991","1,482.130"
"Feb 28, 1991","1,602.420"
"Mar 29, 1991","1,518.400"
"Apr 30, 1991","1,498.680"
"May 31, 1991","1,508.900"
