Date,USA
"Dec 31, 1969",100.000
"Jan 30, 1970",92.890
"Feb 27, 1970",98.130
"Mar 31, 1970",98.730
"Apr 30, 1970",90.200
"May 29, 1970",85.120
"Jun 30, 1970",81.670
"Jul 31, 1970",87.820
"Aug 31, 1970",91.440
"Sep 30, 1970",94.570
"Oct 30, 1970",93.910
"Nov 30, 1970",99.080
"Dec 31, 1970",104.830
"Jan 29, 1971",109.710
"Feb 26, 1971",110.890
"Mar 31, 1971",115.450
"Apr 30, 1971",119.990
"May 31, 1971",115.380
"Jun 30, 1971",116.230
"Jul 30, 1971",112.150
"Aug 31, 1971",116.830
"Sep 30, 1971",115.430
"Oct 29, 1971",111.370
"Nov 30, 1971",111.900
"Dec 31, 1971",118.980
"Jan 31, 1972",121.450
"Feb 29, 1972",124.950
"Mar 31, 1972",126.990
"Apr 28, 1972",127.290
"May 31, 1972",127.240
"Jun 30, 1972",125.050
"Jul 31, 1972",124.440
"Aug 31, 1972",129.070
"Sep 29, 1972",129.380
"Oct 31, 1972",131.160
"Nov 30, 1972",136.310
"Dec 29, 1972",138.690
"Jan 31, 1973",135.500
"Feb 28, 1973",129.270
"Mar 30, 1973",127.860
"Apr 30, 1973",123.060
"May 31, 1973",121.220
"Jun 29, 1973",121.490
"Jul 31, 1973",126.390
"Aug 31, 1973",122.290
"Sep 28, 1973",126.780
"Oct 31, 1973",127.440
"Nov 30, 1973",114.040
"Dec 31, 1973",116.160
"Jan 31, 1974",114.280
"Feb 28, 1974",114.270
"Mar 29, 1974",111.590
"Apr 30, 1974",107.410
"May 31, 1974",104.200
"Jun 28, 1974",102.560
"Jul 31, 1974",94.530
"Aug 30, 1974",86.080
"Sep 30, 1974",76.190
"Oct 31, 1974",89.750
"Nov 29, 1974",85.700
"Dec 31, 1974",84.010
"Jan 31, 1975",94.940
"Feb 28, 1975",100.940
"Mar 31, 1975",103.440
"Apr 30, 1975",108.140
"May 30, 1975",113.120
"Jun 30, 1975",118.590
"Jul 31, 1975",110.690
"Aug 29, 1975",108.300
"Sep 30, 1975",104.550
"Oct 31, 1975",111.790
"Nov 28, 1975",115.210
"Dec 31, 1975",114.100
"Jan 30, 1976",127.460
"Feb 27, 1976",126.190
"Mar 31, 1976",130.650
"Apr 30, 1976",129.330
"May 31, 1976",127.990
"Jun 30, 1976",133.730
"Jul 30, 1976",133.060
"Aug 31, 1976",133.000
"Sep 30, 1976",136.430
"Oct 29, 1976",133.950
"Nov 30, 1976",133.470
"Dec 31, 1976",140.630
"Jan 31, 1977",133.860
"Feb 28, 1977",131.220
"Mar 31, 1977",129.810
"Apr 29, 1977",130.300
"May 31, 1977",127.950
"Jun 30, 1977",134.270
"Jul 29, 1977",132.700
"Aug 31, 1977",130.300
"Sep 30, 1977",130.470
"Oct 31, 1977",125.160
"Nov 30, 1977",128.510
"Dec 30, 1977",129.350
"Jan 31, 1978",121.910
"Feb 28, 1978",119.290
"Mar 31, 1978",122.300
"Apr 28, 1978",133.960
"May 31, 1978",134.610
"Jun 30, 1978",132.580
"Jul 31, 1978",140.700
"Aug 31, 1978",144.510
"Sep 29, 1978",143.980
"Oct 31, 1978",131.820
"Nov 30, 1978",134.560
"Dec 29, 1978",137.070
"Jan 31, 1979",143.400
"Feb 28, 1979",138.510
"Mar 30, 1979",146.440
"Apr 30, 1979",146.500
"May 31, 1979",143.720
"Jun 29, 1979",149.300
"Jul 31, 1979",151.000
"Aug 31, 1979",158.520
"Sep 28, 1979",158.300
"Oct 31, 1979",148.180
"Nov 30, 1979",154.340
"Dec 31, 1979",156.870
"Jan 31, 1980",166.340
"Feb 29, 1980",164.680
"Mar 31, 1980",150.130
"Apr 30, 1980",156.660
"May 30, 1980",164.210
"Jun 30, 1980",169.550
"Jul 31, 1980",180.820
"Aug 29, 1980",182.070
"Sep 30, 1980",186.660
"Oct 31, 1980",191.380
"Nov 28, 1980",211.350
"Dec 31, 1980",204.000
"Jan 30, 1981",196.430
"Feb 27, 1981",200.610
"Mar 31, 1981",207.310
"Apr 30, 1981",203.480
"May 29, 1981",202.910
"Jun 30, 1981",202.520
"Jul 31, 1981",204.020
"Aug 31, 1981",192.380
"Sep 30, 1981",183.350
"Oct 30, 1981",192.460
"Nov 30, 1981",200.890
"Dec 31, 1981",195.580
"Jan 29, 1982",193.370
"Feb 26, 1982",183.390
"Mar 31, 1982",182.400
"Apr 30, 1982",190.410
"May 31, 1982",184.100
"Jun 30, 1982",181.790
"Jul 30, 1982",178.550
"Aug 31, 1982",200.540
"Sep 30, 1982",203.200
"Oct 29, 1982",225.850
"Nov 30, 1982",234.640
"Dec 31, 1982",238.890
"Jan 31, 1983",248.470
"Feb 28, 1983",253.790
"Mar 31, 1983",262.620
"Apr 29, 1983",283.290
"May 31, 1983",278.960
"Jun 30, 1983",289.820
"Jul 29, 1983",280.480
"Aug 31, 1983",286.260
"Sep 30, 1983",290.040
"Oct 31, 1983",286.820
"Nov 30, 1983",293.050
"Dec 30, 1983",291.500
"Jan 31, 1984",288.310
"Feb 29, 1984",276.420
"Mar 30, 1984",281.600
"Apr 30, 1984",284.580
"May 31, 1984",268.700
"Jun 29, 1984",274.480
"Jul 31, 1984",272.410
"Aug 31, 1984",302.070
"Sep 28, 1984",302.600
"Oct 31, 1984",304.190
"Nov 30, 1984",301.280
"Dec 31, 1984",308.920
"Jan 31, 1985",333.790
"Feb 28, 1985",337.790
"Mar 29, 1985",338.750
"Apr 30, 1985",338.040
"May 31, 1985",359.020
"Jun 28, 1985",364.340
"Jul 31, 1985",363.300
"Aug 30, 1985",360.050
"Sep 30, 1985",348.710
"Oct 31, 1985",364.580
"Nov 29, 1985",389.960
"Dec 31, 1985",410.100
"Jan 31, 1986",412.710
"Feb 28, 1986",444.000
"Mar 31, 1986",468.800
"Apr 30, 1986",462.300
"May 30, 1986",485.080
"Jun 30, 1986",491.420
"Jul 31, 1986",465.210
"Aug 29, 1986",499.600
